Atmospheric tide model: Ray-Ponte, 2003                                                      
normalized model (mbar), no Doodson convention applied                                       
Doodson Darw  l   m    Csin+     Ccos+       Csin-     Ccos-       C+   eps+      C-   eps-  
163.555  P1   2   0  0.001082  0.010981    0.000000  0.000000   0.0110   5.627 0.0000   0.000
163.555  P1   2   1  0.000606 -0.013075    0.005277 -0.000125   0.0131 177.347 0.0053  91.350
163.555  P1   2   2 -0.000742 -0.003630   -0.001406  0.000014   0.0037 191.557 0.0014 270.570
163.555  P1   3   0  0.012322 -0.006359    0.000000  0.000000   0.0139 117.298 0.0000   0.000
163.555  P1   3   1 -0.015752  0.005002    0.007386  0.004463   0.0166 287.621 0.0086  58.857
163.555  P1   3   2 -0.005993 -0.000619   -0.002511  0.004511   0.0060 264.105 0.0051 330.897
163.555  P1   3   3  0.004378 -0.007747   -0.006017 -0.004748   0.0089 150.530 0.0076 231.722
163.555  P1   4   0 -0.000686 -0.007895    0.000000  0.000000   0.0079 184.965 0.0000   0.000
163.555  P1   4   1 -0.008445  0.002009   -0.000200 -0.001081   0.0086 283.381 0.0011 190.504
163.555  P1   4   2 -0.002151 -0.000456   -0.000362  0.003662   0.0022 258.022 0.0037 354.357
163.555  P1   4   3 -0.001173 -0.000684   -0.025869  0.020135   0.0014 239.741 0.0327 307.896
163.555  P1   4   4 -0.003373  0.001324    0.000395 -0.001242   0.0036 291.434 0.0013 162.360
163.555  P1   5   0 -0.007282  0.001540    0.000000  0.000000   0.0074 281.941 0.0000   0.000
163.555  P1   5   1  0.001146 -0.002903   -0.001002 -0.005645   0.0031 158.451 0.0057 190.065
163.555  P1   5   2  0.003909 -0.001071    0.000000  0.000055   0.0040 105.321 0.0001   0.233
163.555  P1   5   3  0.002416 -0.005523   -0.006075  0.001800   0.0060 156.378 0.0063 286.505
163.555  P1   5   4 -0.001537 -0.004596    0.001162 -0.001359   0.0048 198.496 0.0018 139.459
163.555  P1   5   5  0.000231  0.000758    0.001072 -0.001343   0.0008  16.932 0.0017 141.419
163.555  P1   6   0 -0.003819 -0.000549    0.000000  0.000000   0.0038 261.806 0.0000   0.000
163.555  P1   6   1  0.010667  0.000632   -0.002882  0.000576   0.0106  86.612 0.0029 281.292
163.555  P1   6   2  0.003894 -0.004596   -0.003858  0.001334   0.0060 139.724 0.0041 289.071
163.555  P1   6   3  0.006719  0.000156   -0.004114  0.001763   0.0067  88.672 0.0045 293.201
163.555  P1   6   4 -0.001534 -0.002027    0.001681 -0.001237   0.0025 217.115 0.0021 126.361
163.555  P1   6   5  0.004761  0.001006   -0.000771  0.003382   0.0048  78.070 0.0035 347.152
163.555  P1   6   6  0.000899  0.000512   -0.003377  0.002672   0.0010  60.342 0.0043 308.350
163.555  P1   7   0  0.005785 -0.002031    0.000000  0.000000   0.0061 109.345 0.0000   0.000
163.555  P1   7   1  0.008163 -0.000215   -0.001377  0.002506   0.0081  91.511 0.0028 331.210
163.555  P1   7   2  0.001304  0.000791    0.000549 -0.001896   0.0015  58.781 0.0020 163.847
163.555  P1   7   3  0.004895  0.001043    0.004036 -0.000116   0.0050  77.976 0.0040  91.638
163.555  P1   7   4  0.000248 -0.000970   -0.000915 -0.000923   0.0010 165.689 0.0013 224.724
163.555  P1   7   5 -0.000755  0.005121    0.000149 -0.001588   0.0052 351.614 0.0016 174.667
163.555  P1   7   6 -0.002164 -0.001507   -0.000182 -0.003017   0.0026 235.149 0.0030 183.450
163.555  P1   7   7 -0.002462  0.000595   -0.001308  0.000142   0.0025 283.573 0.0013 276.179
163.555  P1   8   0 -0.004030  0.000583    0.000000  0.000000   0.0041 278.227 0.0000   0.000
163.555  P1   8   1 -0.008900 -0.002808    0.000799 -0.000729   0.0093 252.492 0.0011 132.423
163.555  P1   8   2 -0.001324 -0.000158    0.001977  0.000906   0.0013 263.189 0.0022  65.379
163.555  P1   8   3 -0.002503 -0.001144    0.002305 -0.000105   0.0027 245.432 0.0023  92.608
163.555  P1   8   4 -0.000747 -0.002646    0.001226 -0.001158   0.0027 195.784 0.0017 133.360
163.555  P1   8   5 -0.000543 -0.002086   -0.000907 -0.000339   0.0021 194.595 0.0010 249.513
163.555  P1   8   6 -0.000440  0.002354   -0.003000  0.003203   0.0024 349.409 0.0044 316.868
163.555  P1   8   7 -0.001213  0.001882   -0.000039 -0.000226   0.0022 327.197 0.0002 189.737
163.555  P1   8   8 -0.002092 -0.000001   -0.000429 -0.000475   0.0021 269.986 0.0006 222.016
163.555  P1   9   0 -0.000626  0.000103    0.000000  0.000000   0.0006 279.372 0.0000   0.000
163.555  P1   9   1  0.001358  0.003957    0.000430 -0.002026   0.0042  18.948 0.0021 168.012
163.555  P1   9   2 -0.000060 -0.000332   -0.003751  0.002974   0.0003 190.361 0.0048 308.414
163.555  P1   9   3 -0.002069 -0.000084    0.001116  0.000362   0.0021 267.668 0.0012  72.055
163.555  P1   9   4 -0.002055 -0.000076    0.001770 -0.000428   0.0020 267.886 0.0018 103.592
163.555  P1   9   5 -0.000401 -0.000234    0.000104  0.000075   0.0005 239.709 0.0001  54.244
163.555  P1   9   6  0.000917 -0.001905   -0.001162  0.000751   0.0021 154.281 0.0014 302.874
163.555  P1   9   7  0.000996 -0.001285    0.000941  0.002016   0.0016 142.198 0.0022  25.029
163.555  P1   9   8 -0.001253  0.001633    0.000652  0.000751   0.0020 322.512 0.0010  40.945
163.555  P1   9   9 -0.001064  0.001516    0.001206  0.001333   0.0018 324.930 0.0018  42.157
163.555  P1  10   0  0.000729 -0.002084    0.000000  0.000000   0.0022 160.715 0.0000   0.000
163.555  P1  10   1  0.006278  0.002301    0.002282  0.000816   0.0067  69.866 0.0024  70.332
163.555  P1  10   2  0.000765 -0.000650    0.000186 -0.003119   0.0010 130.360 0.0031 176.591
163.555  P1  10   3 -0.000217  0.000736   -0.001138  0.001490   0.0008 343.548 0.0019 322.609
163.555  P1  10   4 -0.001618 -0.001187   -0.002412 -0.000190   0.0020 233.721 0.0024 265.502
163.555  P1  10   5 -0.000509  0.002179   -0.000470 -0.000364   0.0022 346.852 0.0006 232.290
163.555  P1  10   6  0.001947 -0.000283   -0.001857 -0.000242   0.0020  98.273 0.0019 262.569
163.555  P1  10   7 -0.002669 -0.001101    0.002979  0.000894   0.0029 247.587 0.0031  73.303
163.555  P1  10   8 -0.001172 -0.000676   -0.000303 -0.001151   0.0013 240.028 0.0012 194.774
163.555  P1  10   9  0.001208  0.000413   -0.000887  0.000180   0.0013  71.145 0.0009 281.439
163.555  P1  10  10 -0.001389  0.000157    0.001770  0.001056   0.0014 276.451 0.0021  59.175
164.555  S1   2   0 -0.037380 -0.013342    0.000000  0.000000   0.0397 250.358 0.0000   0.000
164.555  S1   2   1  0.016679  0.010967   -0.003873 -0.021105   0.0200  56.672 0.0215 190.399
164.555  S1   2   2  0.034582  0.037498    0.009756 -0.034478   0.0510  42.683 0.0359 164.202
164.555  S1   3   0 -0.023133  0.007259    0.000000  0.000000   0.0242 287.421 0.0000   0.000
164.555  S1   3   1 -0.121723  0.033011   -0.000794  0.002495   0.1262 285.174 0.0026 342.355
164.555  S1   3   2  0.001543  0.022433    0.011284 -0.005435   0.0225   3.935 0.0126 115.719
164.555  S1   3   3 -0.010300 -0.007883   -0.027386 -0.049892   0.0130 232.570 0.0570 208.762
164.555  S1   4   0  0.021543  0.016844    0.000000  0.000000   0.0273  51.978 0.0000   0.000
164.555  S1   4   1 -0.002374 -0.015421   -0.003761  0.027022   0.0156 188.751 0.0273 352.076
164.555  S1   4   2 -0.023047 -0.005322    0.001759  0.010569   0.0236 256.998 0.0107   9.446
164.555  S1   4   3 -0.024799  0.021384    0.023775  0.020270   0.0327 310.770 0.0312  49.549
164.555  S1   4   4 -0.001282  0.029115    0.004805 -0.008777   0.0291 357.480 0.0100 151.304
164.555  S1   5   0  0.018258 -0.004350    0.000000  0.000000   0.0188 103.404 0.0000   0.000
164.555  S1   5   1  0.022117 -0.031857    0.010025 -0.000805   0.0388 145.229 0.0100  94.591
164.555  S1   5   2  0.004750 -0.006136   -0.002770 -0.011095   0.0077 142.257 0.0115 194.019
164.555  S1   5   3 -0.020419 -0.000852   -0.003531  0.017519   0.0204 267.611 0.0179 348.606
164.555  S1   5   4  0.009222 -0.004159   -0.000550  0.015897   0.0101 114.271 0.0159 358.017
164.555  S1   5   5 -0.004455  0.041110    0.001064 -0.003234   0.0414 353.815 0.0034 161.798
164.555  S1   6   0 -0.002712 -0.011085    0.000000  0.000000   0.0115 193.747 0.0000   0.000
164.555  S1   6   1 -0.015324 -0.000829    0.002477 -0.008256   0.0154 266.903 0.0086 163.298
164.555  S1   6   2  0.004349 -0.012972   -0.005251  0.001317   0.0137 161.466 0.0054 284.079
164.555  S1   6   3 -0.007129 -0.013700   -0.017125 -0.009909   0.0155 207.489 0.0198 239.943
164.555  S1   6   4  0.001198  0.007444    0.003165  0.006932   0.0075   9.148 0.0076  24.543
164.555  S1   6   5  0.033545 -0.012549    0.000136  0.020180   0.0359 110.511 0.0202   0.384
164.555  S1   6   6 -0.000870  0.011297   -0.002045  0.016218   0.0114 355.597 0.0164 352.811
164.555  S1   7   0 -0.009120  0.016691    0.000000  0.000000   0.0190 331.348 0.0000   0.000
164.555  S1   7   1 -0.005219  0.019482    0.000132  0.003490   0.0202 345.002 0.0035   2.160
164.555  S1   7   2 -0.008906  0.008436   -0.002865  0.002137   0.0123 313.448 0.0036 306.710
164.555  S1   7   3  0.001352  0.003035   -0.005638 -0.009590   0.0033  24.023 0.0111 210.452
164.555  S1   7   4  0.002443  0.012491   -0.002851  0.003396   0.0128  11.065 0.0044 319.987
164.555  S1   7   5  0.006100 -0.002368    0.007296 -0.010503   0.0065 111.212 0.0128 145.214
164.555  S1   7   6 -0.007212 -0.011555    0.007216 -0.004694   0.0137 211.971 0.0086 123.045
164.555  S1   7   7  0.005617  0.011427   -0.001551  0.015104   0.0128  26.176 0.0152 354.137
164.555  S1   8   0 -0.000766  0.014856    0.000000  0.000000   0.0149 357.048 0.0000   0.000
164.555  S1   8   1  0.002886  0.006710    0.002065  0.000039   0.0073  23.272 0.0021  88.924
164.555  S1   8   2  0.001799  0.014503    0.007787  0.001680   0.0146   7.072 0.0079  77.826
164.555  S1   8   3  0.007654  0.005720   -0.000239 -0.000036   0.0095  53.230 0.0002 261.360
164.555  S1   8   4 -0.000600 -0.001085   -0.005191 -0.003571   0.0012 208.949 0.0063 235.474
164.555  S1   8   5 -0.007908  0.004785   -0.002618 -0.008938   0.0092 301.176 0.0093 196.325
164.555  S1   8   6 -0.000367 -0.005248    0.004695 -0.005251   0.0052 183.993 0.0070 138.199
164.555  S1   8   7 -0.007800 -0.007369   -0.000095 -0.005702   0.0107 226.625 0.0057 180.958
164.555  S1   8   8  0.002071 -0.005287   -0.002696  0.007247   0.0057 158.609 0.0077 339.594
164.555  S1   9   0  0.007423 -0.009708    0.000000  0.000000   0.0123 142.598 0.0000   0.000
164.555  S1   9   1 -0.006096 -0.004534   -0.003228 -0.001562   0.0076 233.361 0.0036 244.184
164.555  S1   9   2  0.006612 -0.004035    0.002424  0.005467   0.0077 121.394 0.0060  23.905
164.555  S1   9   3  0.005287  0.002268    0.001193  0.004870   0.0057  66.780 0.0050  13.771
164.555  S1   9   4  0.004158  0.003513    0.007834 -0.001950   0.0054  49.808 0.0080 103.975
164.555  S1   9   5  0.004998  0.001656    0.000251  0.006722   0.0052  71.662 0.0067   2.143
164.555  S1   9   6 -0.001414 -0.002123   -0.008145 -0.008774   0.0025 213.681 0.0120 222.874
164.555  S1   9   7  0.001590  0.008552    0.005688  0.004568   0.0087  10.533 0.0073  51.235
164.555  S1   9   8  0.005270  0.006774    0.009015 -0.004217   0.0085  37.880 0.0099 115.069
164.555  S1   9   9 -0.000574 -0.011198    0.008477  0.000868   0.0113 182.932 0.0085  84.152
164.555  S1  10   0  0.011407 -0.009375    0.000000  0.000000   0.0148 129.417 0.0000   0.000
164.555  S1  10   1 -0.004979 -0.005800    0.002800  0.005253   0.0076 220.645 0.0059  28.053
164.555  S1  10   2 -0.007677 -0.010496   -0.005038 -0.003252   0.0130 216.185 0.0060 237.164
164.555  S1  10   3 -0.005381  0.005867    0.000443  0.005988   0.0079 317.471 0.0060   4.233
164.555  S1  10   4  0.002891  0.001318    0.000518 -0.000169   0.0032  65.494 0.0005 108.033
164.555  S1  10   5 -0.001539  0.002655    0.004288  0.000362   0.0031 329.896 0.0043  85.182
164.555  S1  10   6  0.000638 -0.005762    0.001439  0.001170   0.0058 173.683 0.0018  50.881
164.555  S1  10   7  0.006303  0.005965    0.001522 -0.001156   0.0086  46.580 0.0019 127.237
164.555  S1  10   8  0.003195 -0.003786   -0.004882  0.000563   0.0049 139.838 0.0049 276.577
164.555  S1  10   9 -0.001205  0.006038    0.000497 -0.010536   0.0061 348.714 0.0105 177.300
164.555  S1  10  10 -0.005486 -0.004657    0.003304  0.000731   0.0072 229.671 0.0034  77.512
164.555  S1  11   0  0.000036  0.008982    0.000000  0.000000   0.0089   0.231 0.0000   0.000
164.555  S1  11   1 -0.004254  0.001060   -0.002996  0.001158   0.0044 283.987 0.0032 291.130
164.555  S1  11   2 -0.003888 -0.001539    0.001179 -0.005735   0.0042 248.412 0.0058 168.383
164.555  S1  11   3 -0.005156 -0.000434   -0.004511 -0.002168   0.0052 265.191 0.0050 244.332
164.555  S1  11   4 -0.003685 -0.009459   -0.004001  0.000359   0.0101 201.279 0.0040 275.117
164.555  S1  11   5 -0.004544  0.002876   -0.001223 -0.004878   0.0054 302.326 0.0050 194.079
164.555  S1  11   6 -0.000589 -0.003667    0.001362  0.005972   0.0037 189.117 0.0061  12.848
164.555  S1  11   7  0.006747 -0.006079   -0.004109 -0.000456   0.0090 132.018 0.0041 263.666
164.555  S1  11   8  0.009386  0.005038    0.006180  0.003343   0.0106  61.776 0.0070  61.588
164.555  S1  11   9 -0.004377 -0.008336   -0.005241 -0.002775   0.0094 207.701 0.0059 242.100
164.555  S1  11  10  0.004501  0.001886   -0.005478 -0.001287   0.0049  67.259 0.0056 256.784
164.555  S1  11  11  0.002823  0.000364   -0.000128  0.011810   0.0028  82.660 0.0119 359.379
164.555  S1  12   0 -0.006950 -0.006376    0.000000  0.000000   0.0094 227.467 0.0000   0.000
164.555  S1  12   1  0.006099  0.002498   -0.000003  0.000712   0.0066  67.730 0.0007 359.727
164.555  S1  12   2  0.004522 -0.002545   -0.001862  0.005529   0.0052 119.373 0.0058 341.388
164.555  S1  12   3  0.004904 -0.001477   -0.003326 -0.004366   0.0051 106.760 0.0055 217.300
164.555  S1  12   4  0.001375 -0.000658   -0.000572  0.001188   0.0015 115.572 0.0013 334.314
164.555  S1  12   5  0.003206 -0.004671   -0.003659  0.005434   0.0056 145.531 0.0065 326.045
