generating_institute     gfz-potsdam
     generating_date     2026/05/23
        product_type     gravity_field
                body     earth
           modelname     egm2008
     max_used_degree          2190
         tide_system     tide_free
          functional     gravitation_ell  (centrifugal term not included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        9999999.0000
       weighted_mean      9.8150218E+05 mgal
            maxvalue      9.8186365E+05 mgal
            minvalue      9.8141915E+05 mgal
         signal_wrms      8.1368274E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravitation_ell
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000   981515.411606710986
           112.0100     -7.0000   981512.753836360876
           112.0200     -7.0000   981509.957224598387
           112.0300     -7.0000   981507.090796439443
           112.0400     -7.0000   981504.216197130969
           112.0500     -7.0000   981501.386150031351
           112.0600     -7.0000   981498.644025907968
           112.0700     -7.0000   981496.024378120550
           112.0800     -7.0000   981493.554190997966
           112.0900     -7.0000   981491.254520719289
           112.1000     -7.0000   981489.142186845769
           112.1100     -7.0000   981487.231199758477
           112.1200     -7.0000   981485.533679812914
           112.1300     -7.0000   981484.060127428966
           112.1400     -7.0000   981482.819024704280
           112.1500     -7.0000   981481.815871171304
           112.1600     -7.0000   981481.051861615619
           112.1700     -7.0000   981480.522487228387
           112.1800     -7.0000   981480.216371818911
           112.1900     -7.0000   981480.114637224469
           112.2000     -7.0000   981480.191027863068
           112.2100     -7.0000   981480.412921480834
           112.2200     -7.0000   981480.743225145270
           112.2300     -7.0000   981481.143019816256
           112.2400     -7.0000   981481.574692464899
           112.2500     -7.0000   981482.005199893727
           112.2600     -7.0000   981482.409057884244
           112.2700     -7.0000   981482.770652420353
           112.2800     -7.0000   981483.085528796772
           112.2900     -7.0000   981483.360424335813
           112.3000     -7.0000   981483.611958938534
           112.3100     -7.0000   981483.864066815469
           112.3200     -7.0000   981484.144420949393
           112.3300     -7.0000   981484.480246723513
           112.3400     -7.0000   981484.894022400840
           112.3500     -7.0000   981485.399606244639
           112.3600     -7.0000   981485.999304623692
           112.3700     -7.0000   981486.682302451343
           112.3800     -7.0000   981487.424725582823
           112.3900     -7.0000   981488.191411165870
           112.4000     -7.0000   981488.939249338815
           112.4100     -7.0000   981489.621754460386
           112.4200     -7.0000   981490.194352766033
           112.4300     -7.0000   981490.619759171619
           112.4400     -7.0000   981490.872775830096
           112.4500     -7.0000   981490.943887068192
           112.4600     -7.0000   981490.841147526400
           112.4700     -7.0000   981490.590050467639
           112.4800     -7.0000   981490.231300065876
           112.4900     -7.0000   981489.816667124163
           112.5000     -7.0000   981489.403350844164
           112.5100     -7.0000   981489.047469209414
           112.5200     -7.0000   981488.797430836130
           112.5300     -7.0000   981488.687983284122
           112.5400     -7.0000   981488.735678618890
           112.5500     -7.0000   981488.936350194272
           112.5600     -7.0000   981489.264970426215
           112.5700     -7.0000   981489.677983160946
           112.5800     -7.0000   981490.117908677785
           112.5900     -7.0000   981490.519740230753
           112.6000     -7.0000   981490.818423133460
           112.6100     -7.0000   981490.956559966085
           112.6200     -7.0000   981490.891438590595
           112.6300     -7.0000   981490.600541323540
           112.6400     -7.0000   981490.084858621471
           112.6500     -7.0000   981489.369580868282
           112.6600     -7.0000   981488.502048288356
           112.6700     -7.0000   981487.547165066819
           112.6800     -7.0000   981486.580789782573
           112.6900     -7.0000   981485.681862299796
           112.7000     -7.0000   981484.924185937387
           112.7100     -7.0000   981484.368832202512
           112.7200     -7.0000   981484.058066118741
           112.7300     -7.0000   981484.011510253418
           112.7400     -7.0000   981484.224995826953
           112.7500     -7.0000   981484.672222168418
           112.7600     -7.0000   981485.309001243790
           112.7700     -7.0000   981486.079544739798
           112.7800     -7.0000   981486.923997273319
           112.7900     -7.0000   981487.786263152491
           112.8000     -7.0000   981488.621136202826
           112.8100     -7.0000   981489.399828437250
           112.8200     -7.0000   981490.113194164471
           112.8300     -7.0000   981490.772237290395
           112.8400     -7.0000   981491.405835307552
           112.8500     -7.0000   981492.055970578804
           112.8600     -7.0000   981492.771082977648
           112.8700     -7.0000   981493.598406315432
           112.8800     -7.0000   981494.576291953563
           112.8900     -7.0000   981495.727537325467
           112.9000     -7.0000   981497.054621462245
           112.9100     -7.0000   981498.537517080316
           112.9200     -7.0000   981500.134427404148
           112.9300     -7.0000   981501.785425391630
           112.9400     -7.0000   981503.418599814409
           112.9500     -7.0000   981504.957984146080
           112.9600     -7.0000   981506.332302729366
           112.9700     -7.0000   981507.483446107130
           112.9800     -7.0000   981508.373600895866
           112.9900     -7.0000   981508.990109360777
           113.0000     -7.0000   981509.347402863204
           112.0000     -7.0100   981513.336345957243
           112.0100     -7.0100   981510.610279520741
           112.0200     -7.0100   981507.757806477719
           112.0300     -7.0100   981504.851677820552
           112.0400     -7.0100   981501.956312492257
           112.0500     -7.0100   981499.126072611660
           112.0600     -7.0100   981496.404760908452
           112.0700     -7.0100   981493.826202401076
           112.0800     -7.0100   981491.415650918731
           112.0900     -7.0100   981489.191679127747
           112.1000     -7.0100   981487.168177876389
           112.1100     -7.0100   981485.356110009714
           112.1200     -7.0100   981483.764731700765
           112.1300     -7.0100   981482.402100745821
           112.1400     -7.0100   981481.274821107509
           112.1500     -7.0100   981480.387107962044
           112.1600     -7.0100   981479.739378690254
           112.1700     -7.0100   981479.326665329980
           112.1800     -7.0100   981479.137189850444
           112.1900     -7.0100   981479.151437891996
           112.2000     -7.0100   981479.342009040993
           112.2100     -7.0100   981479.674419108662
           112.2200     -7.0100   981480.108895447105
           112.2300     -7.0100   981480.603058091481
           112.2400     -7.0100   981481.115237868275
           112.2500     -7.0100   981481.608067787369
           112.2600     -7.0100   981482.051913324627
           112.2700     -7.0100   981482.427692498197
           112.2800     -7.0100   981482.728682693094
           112.2900     -7.0100   981482.961014817003
           112.3000     -7.0100   981483.142705360660
           112.3100     -7.0100   981483.301255621365
           112.3200     -7.0100   981483.470032283687
           112.3300     -7.0100   981483.683810701128
           112.3400     -7.0100   981483.973988774349
           112.3500     -7.0100   981484.364046873408
           112.3600     -7.0100   981484.865826371126
           112.3700     -7.0100   981485.477123283781
           112.3800     -7.0100   981486.180950875976
           112.3900     -7.0100   981486.946631409344
           112.4000     -7.0100   981487.732655123342
           112.4100     -7.0100   981488.491021272377
           112.4200     -7.0100   981489.172579878359
           112.4300     -7.0100   981489.732749744086
           112.4400     -7.0100   981490.136918229749
           112.4500     -7.0100   981490.364842766081
           112.4600     -7.0100   981490.413474183762
           112.4700     -7.0100   981490.297797944164
           112.4800     -7.0100   981490.049521644949
           112.4900     -7.0100   981489.713698376319
           112.5000     -7.0100   981489.343633809942
           112.5100     -7.0100   981488.994647837942
           112.5200     -7.0100   981488.717420292785
           112.5300     -7.0100   981488.551723038545
           112.5400     -7.0100   981488.521316122729
           112.5500     -7.0100   981488.630664140685
           112.5600     -7.0100   981488.863923109835
           112.5700     -7.0100   981489.186381519772
           112.5800     -7.0100   981489.548243466765
           112.5900     -7.0100   981489.890353024006
           112.6000     -7.0100   981490.151213246514
           112.6100     -7.0100   981490.274481879198
           112.6200     -7.0100   981490.216051739873
           112.6300     -7.0100   981489.949857915868
           112.6400     -7.0100   981489.471694153850
           112.6500     -7.0100   981488.800551541382
           112.6600     -7.0100   981487.977286682581
           112.6700     -7.0100   981487.060748505639
           112.6800     -7.0100   981486.121803007089
           112.6900     -7.0100   981485.235954904463
           112.7000     -7.0100   981484.475441282615
           112.7100     -7.0100   981483.901741878712
           112.7200     -7.0100   981483.559403694817
           112.7300     -7.0100   981483.471918689786
           112.7400     -7.0100   981483.640141136013
           112.7500     -7.0100   981484.043416543631
           112.7600     -7.0100   981484.643255887320
           112.7700     -7.0100   981485.389069661265
           112.7800     -7.0100   981486.225216632360
           112.7900     -7.0100   981487.098455551662
           112.8000     -7.0100   981487.964836549596
           112.8100     -7.0100   981488.795140184695
           112.8200     -7.0100   981489.578158233082
           112.8300     -7.0100   981490.321388644865
           112.8400     -7.0100   981491.049052963266
           112.8500     -7.0100   981491.797695403919
           112.8600     -7.0100   981492.609943771502
           112.8700     -7.0100   981493.527261715033
           112.8800     -7.0100   981494.582666447037
           112.8900     -7.0100   981495.794405817869
           112.9000     -7.0100   981497.161479252391
           112.9100     -7.0100   981498.661660633166
           112.9200     -7.0100   981500.252365206950
           112.9300     -7.0100   981501.874336287961
           112.9400     -7.0100   981503.457757335738
           112.9500     -7.0100   981504.930068537593
           112.9600     -7.0100   981506.224527083919
           112.9700     -7.0100   981507.288429273758
           112.9800     -7.0100   981508.089928117581
           112.9900     -7.0100   981508.622532709502
           113.0000     -7.0100   981508.906648360658
           112.0000     -7.0200   981510.503256615833
           112.0100     -7.0200   981507.747003535856
           112.0200     -7.0200   981504.887388712494
           112.0300     -7.0200   981501.999786038417
           112.0400     -7.0200   981499.150067296927
           112.0500     -7.0200   981496.392708098865
           112.0600     -7.0200   981493.770232110284
           112.0700     -7.0200   981491.313866781536
           112.0800     -7.0200   981489.045147537254
           112.0900     -7.0200   981486.978110337048
