generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly_cl
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      4.0254115E+01 mgal
            maxvalue      3.7989579E+02 mgal
            minvalue     -4.3221128E+01 mgal
         signal_wrms      7.9191942E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_anomaly_cl
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000       55.200204375616
           112.0100     -7.0000       53.236955458758
           112.0200     -7.0000       51.110074742411
           112.0300     -7.0000       48.884775250180
           112.0400     -7.0000       46.622574312494
           112.0500     -7.0000       44.378721151617
           112.0600     -7.0000       42.200484140764
           112.0700     -7.0000       40.126323232847
           112.0800     -7.0000       38.185872024421
           112.0900     -7.0000       36.400570072992
           112.1000     -7.0000       34.784729248472
           112.1100     -7.0000       33.346794121059
           112.1200     -7.0000       32.090567376564
           112.1300     -7.0000       31.016213963930
           112.1400     -7.0000       30.120924950516
           112.1500     -7.0000       29.399203317482
           112.1600     -7.0000       28.842816847607
           112.1700     -7.0000       28.440535282748
           112.1800     -7.0000       28.177819006281
           112.1900     -7.0000       28.036646823715
           112.2000     -7.0000       27.995657243629
           112.2100     -7.0000       28.030732348228
           112.2200     -7.0000       28.116081805329
           112.2300     -7.0000       28.225797097114
           112.2400     -7.0000       28.335755366449
           112.2500     -7.0000       28.425672468835
           112.2600     -7.0000       28.481048688711
           112.2700     -7.0000       28.494728968198
           112.2800     -7.0000       28.467816434308
           112.2900     -7.0000       28.409736547808
           112.3000     -7.0000       28.337341989726
           112.3100     -7.0000       28.273065530371
           112.3200     -7.0000       28.242255084265
           112.3300     -7.0000       28.269944930948
           112.3400     -7.0000       28.377413109482
           112.3500     -7.0000       28.578930853840
           112.3600     -7.0000       28.879119254022
           112.3700     -7.0000       29.271283469789
           112.3800     -7.0000       29.736997869456
           112.3900     -7.0000       30.247079230605
           112.4000     -7.0000       30.763922177890
           112.4100     -7.0000       31.245001938096
           112.4200     -7.0000       31.647195384110
           112.4300     -7.0000       31.931452650014
           112.4400     -7.0000       32.067284992010
           112.4500     -7.0000       32.036530856949
           112.4600     -7.0000       31.835924430013
           112.4700     -7.0000       31.478114193639
           112.4800     -7.0000       30.990950179266
           112.4900     -7.0000       30.415058026811
           112.5000     -7.0000       29.799922416807
           112.5100     -7.0000       29.198885963488
           112.5200     -7.0000       28.663607768209
           112.5300     -7.0000       28.238605941944
           112.5400     -7.0000       27.956510475668
           112.5500     -7.0000       27.834581295672
           112.5600     -7.0000       27.872906044379
           112.5700     -7.0000       28.054499383501
           112.5800     -7.0000       28.347303321397
           112.5900     -7.0000       28.707863294741
           112.6000     -7.0000       29.086255209698
           112.6100     -7.0000       29.431689387671
           112.6200     -7.0000       29.698137367973
           112.6300     -7.0000       29.849327201070
           112.6400     -7.0000       29.862532776725
           112.6500     -7.0000       29.730733167632
           112.6600     -7.0000       29.462920282164
           112.6700     -7.0000       29.082561898974
           112.6800     -7.0000       28.624453500647
           112.6900     -7.0000       28.130387471847
           112.7000     -7.0000       27.644207357724
           112.7100     -7.0000       27.206880258035
           112.7200     -7.0000       26.852203854588
           112.7300     -7.0000       26.603668451131
           112.7400     -7.0000       26.472831597246
           112.7500     -7.0000       26.459354965880
           112.7600     -7.0000       26.552627800491
           112.7700     -7.0000       26.734688438523
           112.7800     -7.0000       26.983983640250
           112.7900     -7.0000       27.279397709457
           112.8000     -7.0000       27.603954339384
           112.8100     -7.0000       27.947647775761
           112.8200     -7.0000       28.308989432269
           112.8300     -7.0000       28.695043044813
           112.8400     -7.0000       29.119942350242
           112.8500     -7.0000       29.602108112492
           112.8600     -7.0000       30.160576085514
           112.8700     -7.0000       30.810986733520
           112.8800     -7.0000       31.561850740047
           112.8900     -7.0000       32.411681450917
           112.9000     -7.0000       33.347477747014
           112.9100     -7.0000       34.344861589197
           112.9200     -7.0000       35.369946656694
           112.9300     -7.0000       36.382768594834
           112.9400     -7.0000       37.341876830688
           112.9500     -7.0000       38.209505006925
           112.9600     -7.0000       38.956628378983
           112.9700     -7.0000       39.567199194046
           112.9800     -7.0000       40.040930340268
           112.9900     -7.0000       40.394165846358
           113.0000     -7.0000       40.658614231148
           112.0000     -7.0100       54.188443997383
           112.0100     -7.0100       52.197182310998
           112.0200     -7.0100       50.051518276639
           112.0300     -7.0100       47.818794989851
           112.0400     -7.0100       45.561605435118
           112.0500     -7.0100       43.335150921919
           112.0600     -7.0100       41.185600834481
           112.0700     -7.0100       39.149473694877
           112.0800     -7.0100       37.253939743920
           112.0900     -7.0100       35.517844985122
           112.1000     -7.0100       33.953188073532
           112.1100     -7.0100       32.566752490482
           112.1200     -7.0100       31.361609807945
           112.1300     -7.0100       30.338262619978
           112.1400     -7.0100       29.495279661873
           112.1500     -7.0100       28.829378370432
           112.1600     -7.0100       28.335016650693
           112.1700     -7.0100       28.003650327335
           112.1800     -7.0100       27.822881645534
           112.1900     -7.0100       27.775756685777
           112.2000     -7.0100       27.840460106709
           112.2100     -7.0100       27.990604603367
           112.2200     -7.0100       28.196226176647
           112.2300     -7.0100       28.425486303796
           112.2400     -7.0100       28.646963810885
           112.2500     -7.0100       28.832309815030
           112.2600     -7.0100       28.958955072866
           112.2700     -7.0100       29.012514275095
           112.2800     -7.0100       28.988534922547
           112.2900     -7.0100       28.893292076759
           112.3000     -7.0100       28.743429984424
           112.3100     -7.0100       28.564386428620
           112.3200     -7.0100       28.387689233966
           112.3300     -7.0100       28.247367070122
           112.3400     -7.0100       28.175847736556
           112.3500     -7.0100       28.199808066454
           112.3600     -7.0100       28.336475965496
           112.3700     -7.0100       28.590859359490
           112.3800     -7.0100       28.954289080652
           112.3900     -7.0100       29.404521268361
           112.4000     -7.0100       29.907465379964
           112.4100     -7.0100       30.420407675535
           112.4200     -7.0100       30.896411326786
           112.4300     -7.0100       31.289417361435
           112.4400     -7.0100       31.559466504483
           112.4500     -7.0100       31.677425684684
           112.4600     -7.0100       31.628641340831
           112.4700     -7.0100       31.415052345274
           112.4800     -7.0100       31.055466680030
           112.4900     -7.0100       30.583918351823
           112.5000     -7.0100       30.046249133697
           112.5100     -7.0100       29.495275560265
           112.5200     -7.0100       28.985078253996
           112.5300     -7.0100       28.565065311348
           112.5400     -7.0100       28.274498799874
           112.5500     -7.0100       28.138127480482
           112.5600     -7.0100       28.163443960949
           112.5700     -7.0100       28.339895227703
           112.5800     -7.0100       28.640144403624
           112.5900     -7.0100       29.023237058112
           112.6000     -7.0100       29.439297676070
           112.6100     -7.0100       29.835199389261
           112.6200     -7.0100       30.160535732371
           112.6300     -7.0100       30.373191453670
           112.6400     -7.0100       30.443864298668
           112.6500     -7.0100       30.359024266602
           112.6600     -7.0100       30.121994140941
           112.6700     -7.0100       29.752069831801
           112.6800     -7.0100       29.281840966000
           112.6900     -7.0100       28.753091951117
           112.7000     -7.0100       28.211831294378
           112.7100     -7.0100       27.703092593789
           112.7200     -7.0100       27.266162149253
           112.7300     -7.0100       26.930814607340
           112.7400     -7.0100       26.714990023358
           112.7500     -7.0100       26.624143803922
           112.7600     -7.0100       26.652271005823
           112.7700     -7.0100       26.784381019418
           112.7800     -7.0100       27.000007037259
           112.7900     -7.0100       27.277202806530
           112.8000     -7.0100       27.596424595799
           112.8100     -7.0100       27.943726112589
           112.8200     -7.0100       28.312803980590
           112.8300     -7.0100       28.705605982005
           112.8400     -7.0100       29.131429374907
           112.8500     -7.0100       29.604662304550
           112.8600     -7.0100       30.141525996896
           112.8700     -7.0100       30.756330069082
           112.8800     -7.0100       31.457835487281
           112.8900     -7.0100       32.246316756535
           112.9000     -7.0100       33.111825868914
           112.9100     -7.0100       34.033996207405
           112.9200     -7.0100       34.983506693820
           112.9300     -7.0100       35.925084448785
           112.9400     -7.0100       36.821691606370
           112.9500     -7.0100       37.639351706531
           112.9600     -7.0100       38.351951186044
           112.9700     -7.0100       38.945320824446
           112.9800     -7.0100       39.419967761667
           112.9900     -7.0100       39.791985043713
           113.0000     -7.0100       40.091894215522
           112.0000     -7.0200       52.331246156712
           112.0100     -7.0200       50.324426613813
           112.0200     -7.0200       48.183953514958
           112.0300     -7.0200       45.978863449925
           112.0400     -7.0200       43.772127026109
           112.0500     -7.0200       41.617934879135
           112.0600     -7.0200       39.560132859329
           112.0700     -7.0200       37.631824893047
           112.0800     -7.0200       35.856023082736
           112.0900     -7.0200       34.247106835039
           112.1000     -7.0200       32.812770763613
           112.1100     -7.0200       31.556104862140
           112.1200     -7.0200       30.477463928946
           112.1300     -7.0200       29.575843897511
           112.1400     -7.0200       28.849581782353
           112.1500     -7.0200       28.296319222143
           112.1600     -7.0200       27.912299764488
           112.1700     -7.0200       27.691188471479
           112.1800     -7.0200       27.622692050322
           112.1900     -7.0200       27.691305115063
