generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     req_topo_2015_plusgrs80
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly_csb
    zero_degree_term     included
                unit     mgal
          refsysname     GRS80
            gmrefpot      3.98600500000E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810681183638E-03   (1/298.25722210088)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263686085004611E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      1.6449132E+02 mgal
            maxvalue      2.3679586E+02 mgal
            minvalue      1.0652990E+02 mgal
         signal_wrms      2.8334968E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_anomaly_csb
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000      179.698527017427
           112.0100     -7.0000      179.910150722892
           112.0200     -7.0000      180.097198668550
           112.0300     -7.0000      180.261831426473
           112.0400     -7.0000      180.408822604187
           112.0500     -7.0000      180.543998601081
           112.0600     -7.0000      180.672587265816
           112.0700     -7.0000      180.797784134614
           112.0800     -7.0000      180.919809135556
           112.0900     -7.0000      181.035643815752
           112.1000     -7.0000      181.139521890452
           112.1100     -7.0000      181.224112645673
           112.1200     -7.0000      181.282208915923
           112.1300     -7.0000      181.308630224309
           112.1400     -7.0000      181.301994845726
           112.1500     -7.0000      181.266013213669
           112.1600     -7.0000      181.210012011719
           112.1700     -7.0000      181.148507125101
           112.1800     -7.0000      181.099789567733
           112.1900     -7.0000      181.083650249971
           112.2000     -7.0000      181.118522254622
           112.2100     -7.0000      181.218438583043
           112.2200     -7.0000      181.390268511354
           112.2300     -7.0000      181.631693403555
           112.2400     -7.0000      181.930309295592
           112.2500     -7.0000      182.264105602167
           112.2600     -7.0000      182.603383751585
           112.2700     -7.0000      182.913971251616
           112.2800     -7.0000      183.161385134301
           112.2900     -7.0000      183.315433970076
           112.3000     -7.0000      183.354645908104
           112.3100     -7.0000      183.269889903884
           112.3200     -7.0000      183.066626021145
           112.3300     -7.0000      182.765373623987
           112.3400     -7.0000      182.400206329099
           112.3500     -7.0000      182.015342332777
           112.3600     -7.0000      181.660163823081
           112.3700     -7.0000      181.383232947186
           112.3800     -7.0000      181.226040257521
           112.3900     -7.0000      181.217298319805
           112.4000     -7.0000      181.368563406241
           112.4100     -7.0000      181.671831162135
           112.4200     -7.0000      182.099521773257
           112.4300     -7.0000      182.606973746405
           112.4400     -7.0000      183.137240272410
           112.4500     -7.0000      183.627670885577
           112.4600     -7.0000      184.017506035704
           112.4700     -7.0000      184.255549404130
           112.4800     -7.0000      184.306937266977
           112.4900     -7.0000      184.158105943885
           112.5000     -7.0000      183.819260649207
           112.5100     -7.0000      183.323948862340
           112.5200     -7.0000      182.725701977010
           112.5300     -7.0000      182.092084700208
           112.5400     -7.0000      181.496833473567
           112.5500     -7.0000      181.011027372290
           112.5600     -7.0000      180.694381229774
           112.5700     -7.0000      180.587759353654
           112.5800     -7.0000      180.707875047192
           112.5900     -7.0000      181.044880731273
           112.6000     -7.0000      181.563197312691
           112.6100     -7.0000      182.205524267381
           112.6200     -7.0000      182.899565883826
           112.6300     -7.0000      183.566657119319
           112.6400     -7.0000      184.131221152253
           112.6500     -7.0000      184.529874023013
           112.6600     -7.0000      184.719026590388
           112.6700     -7.0000      184.680017575607
           112.6800     -7.0000      184.421121377507
           112.6900     -7.0000      183.976171468167
           112.7000     -7.0000      183.399973544932
           112.7100     -7.0000      182.761096033071
           112.7200     -7.0000      182.132964962738
           112.7300     -7.0000      181.584410940691
           112.7400     -7.0000      181.170888430195
           112.7500     -7.0000      180.927501644311
           112.7600     -7.0000      180.864737596027
           112.7700     -7.0000      180.967455261150
           112.7800     -7.0000      181.197256042239
           112.7900     -7.0000      181.497920087427
           112.8000     -7.0000      181.803193228462
           112.8100     -7.0000      182.045902851438
           112.8200     -7.0000      182.167208216972
           112.8300     -7.0000      182.124774377569
           112.8400     -7.0000      181.898801073804
           112.8500     -7.0000      181.495120082804
           112.8600     -7.0000      180.944959229286
           112.8700     -7.0000      180.301407887963
           112.8800     -7.0000      179.633049716408
           112.8900     -7.0000      179.015596784604
           112.9000     -7.0000      178.522616787804
           112.9100     -7.0000      178.216557997915
           112.9200     -7.0000      178.141230613695
           112.9300     -7.0000      178.316704922915
           112.9400     -7.0000      178.737263090888
           112.9500     -7.0000      179.372635903220
           112.9600     -7.0000      180.172322606521
           112.9700     -7.0000      181.072388765722
           112.9800     -7.0000      182.003817203251
           112.9900     -7.0000      182.901292646552
           113.0000     -7.0000      183.711256776142
           112.0000     -7.0100      179.776961731370
           112.0100     -7.0100      179.952408635538
           112.0200     -7.0100      180.082118640314
           112.0300     -7.0100      180.170761416383
           112.0400     -7.0100      180.228046587196
           112.0500     -7.0100      180.266668484551
           112.0600     -7.0100      180.299928014605
           112.0700     -7.0100      180.339425263434
           112.0800     -7.0100      180.393197862330
           112.0900     -7.0100      180.464602086288
           112.1000     -7.0100      180.552108282607
           112.1100     -7.0100      180.650029030987
           112.1200     -7.0100      180.750041423415
           112.1300     -7.0100      180.843228893009
           112.1400     -7.0100      180.922275059388
           112.1500     -7.0100      180.983407702458
           112.1600     -7.0100      181.027721996409
