generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     rwi_tois_2012_plusgrs80
     max_used_degree          1800
         tide_system     tide_free
          functional     gravity_anomaly_iso
    zero_degree_term     included
                unit     mgal
          refsysname     GRS80
            gmrefpot      3.98600500000E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810681183638E-03   (1/298.25722210088)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263686085004611E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      1.5050459E+01 mgal
            maxvalue      1.2669355E+02 mgal
            minvalue     -4.8522729E+01 mgal
         signal_wrms      3.5672447E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_anomaly_iso
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000       26.332498365693
           112.0100     -7.0000       26.232038803072
           112.0200     -7.0000       26.113555827435
           112.0300     -7.0000       25.972186662411
           112.0400     -7.0000       25.803366487402
           112.0500     -7.0000       25.603647871489
           112.0600     -7.0000       25.371437058392
           112.0700     -7.0000       25.107565652095
           112.0800     -7.0000       24.815630784494
           112.0900     -7.0000       24.502058112840
           112.1000     -7.0000       24.175868102444
           112.1100     -7.0000       23.848154623876
           112.1200     -7.0000       23.531313289178
           112.1300     -7.0000       23.238082497071
           112.1400     -7.0000       22.980480401139
           112.1500     -7.0000       22.768733955911
           112.1600     -7.0000       22.610300473763
           112.1700     -7.0000       22.509077157027
           112.1800     -7.0000       22.464880113036
           112.1900     -7.0000       22.473252503692
           112.2000     -7.0000       22.525633557418
           112.2100     -7.0000       22.609888597962
           112.2200     -7.0000       22.711167814234
           112.2300     -7.0000       22.813031126049
           112.2400     -7.0000       22.898750973288
           112.2500     -7.0000       22.952686560409
           112.2600     -7.0000       22.961613802328
           112.2700     -7.0000       22.915895939758
           112.2800     -7.0000       22.810390640845
           112.2900     -7.0000       22.645009599779
           112.3000     -7.0000       22.424874559316
           112.3100     -7.0000       22.160046994658
           112.3200     -7.0000       21.864844566432
           112.3300     -7.0000       21.556792787388
           112.3400     -7.0000       21.255292069051
           112.3500     -7.0000       20.980105624072
           112.3600     -7.0000       20.749790333585
           112.3700     -7.0000       20.580199118958
           112.3800     -7.0000       20.483178932055
           112.3900     -7.0000       20.465573483025
           112.4000     -7.0000       20.528615463375
           112.4100     -7.0000       20.667761314952
           112.4200     -7.0000       20.872985207016
           112.4300     -7.0000       21.129510892502
           112.4400     -7.0000       21.418923747559
           112.4500     -7.0000       21.720573650251
           112.4600     -7.0000       22.013155120376
           112.4700     -7.0000       22.276336384547
           112.4800     -7.0000       22.492305001146
           112.4900     -7.0000       22.647104712296
           112.5000     -7.0000       22.731655675111
           112.5100     -7.0000       22.742376662778
           112.5200     -7.0000       22.681360961832
           112.5300     -7.0000       22.556094709054
           112.5400     -7.0000       22.378744178300
           112.5500     -7.0000       22.165073866974
           112.5600     -7.0000       21.933087193229
           112.5700     -7.0000       21.701503725080
           112.5800     -7.0000       21.488199332300
           112.5900     -7.0000       21.308737523601
           112.6000     -7.0000       21.175111451322
           112.6100     -7.0000       21.094797479709
           112.6200     -7.0000       21.070194483812
           112.6300     -7.0000       21.098490502583
           112.6400     -7.0000       21.171962799824
           112.6500     -7.0000       21.278681793868
           112.6600     -7.0000       21.403556663045
           112.6700     -7.0000       21.529633387889
           112.6800     -7.0000       21.639536707947
           112.6900     -7.0000       21.716937417687
           112.7000     -7.0000       21.747926270200
           112.7100     -7.0000       21.722185325326
           112.7200     -7.0000       21.633865887133
           112.7300     -7.0000       21.482107531085
           112.7400     -7.0000       21.271162878202
           112.7500     -7.0000       21.010125137263
           112.7600     -7.0000       20.712287288463
           112.7700     -7.0000       20.394190514633
           112.7800     -7.0000       20.074442817188
           112.7900     -7.0000       19.772404911926
           112.8000     -7.0000       19.506848358867
           112.8100     -7.0000       19.294690037174
           112.8200     -7.0000       19.149897862996
           112.8300     -7.0000       19.082646082047
           112.8400     -7.0000       19.098776145660
           112.8500     -7.0000       19.199593120161
           112.8600     -7.0000       19.382000046836
           112.8700     -7.0000       19.638945968969
           112.8800     -7.0000       19.960139625191
           112.8900     -7.0000       20.332961899128
           112.9000     -7.0000       20.743497368284
           112.9100     -7.0000       21.177599499878
           112.9200     -7.0000       21.621905378156
           112.9300     -7.0000       22.064723897473
           112.9400     -7.0000       22.496735160645
           112.9500     -7.0000       22.911456989729
           112.9600     -7.0000       23.305455295926
           112.9700     -7.0000       23.678296733249
           112.9800     -7.0000       24.032262762444
           112.9900     -7.0000       24.371862333038
           113.0000     -7.0000       24.703194508397
           112.0000     -7.0100       25.774906225957
           112.0100     -7.0100       25.706680619902
           112.0200     -7.0100       25.622553414488
           112.0300     -7.0100       25.516662849051
           112.0400     -7.0100       25.383464193196
           112.0500     -7.0100       25.218611500535
           112.0600     -7.0100       25.019747774236
           112.0700     -7.0100       24.787117077027
           112.0800     -7.0100       24.523927846265
           112.0900     -7.0100       24.236419515768
           112.1000     -7.0100       23.933612469260
           112.1100     -7.0100       23.626751818693
           112.1200     -7.0100       23.328485698644
           112.1300     -7.0100       23.051845857883
           112.1400     -7.0100       22.809119713652
           112.1500     -7.0100       22.610716598393
           112.1600     -7.0100       22.464135243770
