generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_anomaly_sa
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      4.0318561E+01 mgal
            maxvalue      3.8114337E+02 mgal
            minvalue     -4.3341011E+01 mgal
         signal_wrms      7.9384197E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_anomaly_sa
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000       55.357357439601
           112.0100     -7.0000       53.384396548455
           112.0200     -7.0000       51.246668353927
           112.0300     -7.0000       49.009794529809
           112.0400     -7.0000       46.735669361769
           112.0500     -7.0000       44.479870703432
           112.0600     -7.0000       42.289938101892
           112.0700     -7.0000       40.204543534572
           112.0800     -7.0000       38.253478233341
           112.0900     -7.0000       36.458294483674
           112.1000     -7.0000       34.833383946416
           112.1100     -7.0000       33.387250120721
           112.1200     -7.0000       32.123743724455
           112.1300     -7.0000       31.043072998227
           112.1400     -7.0000       30.142468939864
           112.1500     -7.0000       29.416467633906
           112.1600     -7.0000       28.856855655746
           112.1700     -7.0000       28.452397316107
           112.1800     -7.0000       28.188513147336
           112.1900     -7.0000       28.047099534364
           112.2000     -7.0000       28.006666086694
           112.2100     -7.0000       28.042921479166
           112.2200     -7.0000       28.129866166849
           112.2300     -7.0000       28.241361842015
           112.2400     -7.0000       28.353055788370
           112.2500     -7.0000       28.444457480312
           112.2600     -7.0000       28.500908023351
           112.2700     -7.0000       28.515160650081
           112.2800     -7.0000       28.488308359285
           112.2900     -7.0000       28.429853336088
           112.3000     -7.0000       28.356806654668
           112.3100     -7.0000       28.291825257298
           112.3200     -7.0000       28.260521537980
           112.3300     -7.0000       28.288201984259
           112.3400     -7.0000       28.396388158504
           112.3500     -7.0000       28.599531038979
           112.3600     -7.0000       28.902338023628
           112.3700     -7.0000       29.298086404310
           112.3800     -7.0000       29.768200452642
           112.3900     -7.0000       30.283230943495
           112.4000     -7.0000       30.805211484067
           112.4100     -7.0000       31.291195131191
           112.4200     -7.0000       31.697618989931
           112.4300     -7.0000       31.985024381536
           112.4400     -7.0000       32.122592676277
           112.4500     -7.0000       32.091952921832
           112.4600     -7.0000       31.889780210302
           112.4700     -7.0000       31.528828188083
           112.4800     -7.0000       31.037212070963
           112.4900     -7.0000       30.455960214305
           112.5000     -7.0000       29.835058636298
           112.5100     -7.0000       29.228398471478
           112.5200     -7.0000       28.688177560565
           112.5300     -7.0000       28.259385587399
           112.5400     -7.0000       27.975006102075
           112.5500     -7.0000       27.852496213141
           112.5600     -7.0000       27.891963027061
           112.5700     -7.0000       28.076261224694
           112.5800     -7.0000       28.373011617317
           112.5900     -7.0000       28.738313402981
           112.6000     -7.0000       29.121721195049
           112.6100     -7.0000       29.471906973038
           112.6200     -7.0000       29.742346109000
           112.6300     -7.0000       29.896366152942
           112.6400     -7.0000       29.910977654611
           112.6500     -7.0000       29.779058230288
           112.6600     -7.0000       29.509665494303
           112.6700     -7.0000       29.126485698195
           112.6800     -7.0000       28.664653720519
           112.6900     -7.0000       28.166377360234
           112.7000     -7.0000       27.675939573095
           112.7100     -7.0000       27.234718443507
           112.7200     -7.0000       26.876848000710
           112.7300     -7.0000       26.626045923455
           112.7400     -7.0000       26.493969696191
           112.7500     -7.0000       26.480252725816
           112.7600     -7.0000       26.574144205274
           112.7700     -7.0000       26.757461439196
           112.7800     -7.0000       27.008389662397
           112.7900     -7.0000       27.305555404374
           112.8000     -7.0000       27.631769933692
           112.8100     -7.0000       27.976893396822
           112.8200     -7.0000       28.339400824028
           112.8300     -7.0000       28.726420670711
           112.8400     -7.0000       29.152239288681
           112.8500     -7.0000       29.635490175619
           112.8600     -7.0000       30.195443795333
           112.8700     -7.0000       30.847954440225
           112.8800     -7.0000       31.601684555291
           112.8900     -7.0000       32.455203871161
           112.9000     -7.0000       33.395452055018
           112.9100     -7.0000       34.397872586783
           112.9200     -7.0000       35.428295589485
           112.9300     -7.0000       36.446398986935
           112.9400     -7.0000       37.410344450472
           112.9500     -7.0000       38.281999671895
           112.9600     -7.0000       39.032048404742
           112.9700     -7.0000       39.644271850912
           112.9800     -7.0000       40.118364727156
           112.9900     -7.0000       40.470819106657
           113.0000     -7.0000       40.733648958290
           112.0000     -7.0100       54.335673488876
           112.0100     -7.0100       52.334477830054
           112.0200     -7.0100       50.177890323929
           112.0300     -7.0100       47.933675908232
           112.0400     -7.0100       45.664806298203
           112.0500     -7.0100       43.426801433277
           112.0600     -7.0100       41.266081189155
           112.0700     -7.0100       39.219347242008
           112.0800     -7.0100       37.313894056021
           112.0900     -7.0100       35.568646771805
           112.1000     -7.0100       33.995654579934
           112.1100     -7.0100       32.601739000105
           112.1200     -7.0100       31.390010074556
           112.1300     -7.0100       30.361016864486
           112.1400     -7.0100       29.513383525328
           112.1500     -7.0100       28.843886087621
           112.1600     -7.0100       28.347032730596
           112.1700     -7.0100       28.014306063669
           112.1800     -7.0100       27.833295536960
           112.1900     -7.0100       27.786980920578
           112.2000     -7.0100       27.853418220739
           112.2100     -7.0100       28.006027782757
           112.2200     -7.0100       28.214597053930
           112.2300     -7.0100       28.446999246659
           112.2400     -7.0100       28.671509497854
           112.2500     -7.0100       28.859489406675
           112.2600     -7.0100       28.988125831126
           112.2700     -7.0100       29.042864407847
           112.2800     -7.0100       29.019181353475
           112.2900     -7.0100       28.923391261386
           112.3000     -7.0100       28.772289389692
           112.3100     -7.0100       28.591563244511
           112.3200     -7.0100       28.413063564524
           112.3300     -7.0100       28.271179163145
           112.3400     -7.0100       28.198692676099
           112.3500     -7.0100       28.222586192146
           112.3600     -7.0100       28.360302627162
           112.3700     -7.0100       28.616942773675
           112.3800     -7.0100       28.983789381019
           112.3900     -7.0100       29.438406776616
           112.4000     -7.0100       29.946383246576
           112.4100     -7.0100       30.464585120803
           112.4200     -7.0100       30.945600772709
           112.4300     -7.0100       31.342894034370
           112.4400     -7.0100       31.616081122727
           112.4500     -7.0100       31.735708280347
           112.4600     -7.0100       31.686945939676
           112.4700     -7.0100       31.471726930935
           112.4800     -7.0100       31.109029337994
           112.4900     -7.0100       30.633219231806
           112.5000     -7.0100       30.090599072038
           112.5100     -7.0100       29.534525810381
           112.5200     -7.0100       29.019641295510
           112.5300     -7.0100       28.595873513242
           112.5400     -7.0100       28.302904958150
           112.5500     -7.0100       28.165758027409
           112.5600     -7.0100       28.192021233986
           112.5700     -7.0100       28.371048818353
           112.5800     -7.0100       28.675232945935
           112.5900     -7.0100       29.063200646776
           112.6000     -7.0100       29.484557541350
           112.6100     -7.0100       29.885615909461
           112.6200     -7.0100       30.215428972047
           112.6300     -7.0100       30.431420994483
           112.6400     -7.0100       30.503958119837
           112.6500     -7.0100       30.419340734831
           112.6600     -7.0100       30.180897416874
           112.6700     -7.0100       29.808097745029
           112.6800     -7.0100       29.333846237491
           112.6900     -7.0100       28.800341164447
           112.7000     -7.0100       28.254051797235
           112.7100     -7.0100       27.740464341440
           112.7200     -7.0100       27.299258458858
           112.7300     -7.0100       26.960502133492
           112.7400     -7.0100       26.742303152157
           112.7500     -7.0100       26.650151016329
           112.7600     -7.0100       26.677951261705
           112.7700     -7.0100       26.810526093527
           112.7800     -7.0100       27.027161539917
           112.7900     -7.0100       27.305647919401
           112.8000     -7.0100       27.626205101424
           112.8100     -7.0100       27.974714028741
           112.8200     -7.0100       28.344786891152
           112.8300     -7.0100       28.738384748091
           112.8400     -7.0100       29.164908806204
           112.8500     -7.0100       29.638919699086
           112.8600     -7.0100       30.176846015490
           112.8700     -7.0100       30.793199649140
           112.8800     -7.0100       31.496898652517
           112.8900     -7.0100       32.288295392408
           112.9000     -7.0100       33.157417906878
           112.9100     -7.0100       34.083766505179
           112.9200     -7.0100       35.037787642877
           112.9300     -7.0100       35.983902709385
           112.9400     -7.0100       36.884734378044
           112.9500     -7.0100       37.705980870705
           112.9600     -7.0100       38.421267087537
           112.9700     -7.0100       39.016270227408
           112.9800     -7.0100       39.491483601443
           112.9900     -7.0100       39.863140025752
           113.0000     -7.0100       40.162047004992
           112.0000     -7.0200       52.462532890201
           112.0100     -7.0200       50.445539992071
           112.0200     -7.0200       48.294148896287
           112.0300     -7.0200       46.077831582020
           112.0400     -7.0200       43.859936857056
           112.0500     -7.0200       41.694958798388
           112.0600     -7.0200       39.626964869631
           112.0700     -7.0200       37.689202096257
           112.0800     -7.0200       35.904759415055
           112.0900     -7.0200       34.288045388037
           112.1000     -7.0200       32.846757677429
           112.1100     -7.0200       31.583984116521
           112.1200     -7.0200       30.500088926945
           112.1300     -7.0200       29.594099034986
           112.1400     -7.0200       28.864405568984
           112.1500     -7.0200       28.308720267739
           112.1600     -7.0200       27.923358067461
           112.1700     -7.0200       27.702036835034
           112.1800     -7.0200       27.634475764703
