generating_institute     gfz-potsdam
     generating_date     2026/05/23
        product_type     gravity_field
                body     earth
           modelname     egm2008
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_ell  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        9999999.0000
       weighted_mean      9.7816818E+05 mgal
            maxvalue      9.7853678E+05 mgal
            minvalue      9.7808630E+05 mgal
         signal_wrms      8.3853327E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_ell
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000   978173.979255828541
           112.0100     -7.0000   978171.321595690330
           112.0200     -7.0000   978168.525087062735
           112.0300     -7.0000   978165.658749439637
           112.0400     -7.0000   978162.784223375842
           112.0500     -7.0000   978159.954228648450
           112.0600     -7.0000   978157.212133714696
           112.0700     -7.0000   978154.592490926152
           112.0800     -7.0000   978152.122284808429
           112.0900     -7.0000   978149.822572741425
           112.1000     -7.0000   978147.710176215274
           112.1100     -7.0000   978145.799107961822
           112.1200     -7.0000   978144.101490816101
           112.1300     -7.0000   978142.627827572054
           112.1400     -7.0000   978141.386602445971
           112.1500     -7.0000   978140.383316794992
           112.1600     -7.0000   978139.619167008903
           112.1700     -7.0000   978139.089645826956
           112.1800     -7.0000   978138.783378784661
           112.1900     -7.0000   978138.681489876471
           112.2000     -7.0000   978138.757726335898
           112.2100     -7.0000   978138.979469530750
           112.2200     -7.0000   978139.309630988049
           112.2300     -7.0000   978139.709296851070
           112.2400     -7.0000   978140.140859729843
           112.2500     -7.0000   978140.571282110526
           112.2600     -7.0000   978140.975084987353
           112.2700     -7.0000   978141.336658515967
           112.2800     -7.0000   978141.651550558629
           112.2900     -7.0000   978141.926498924033
           112.3000     -7.0000   978142.178121585050
           112.3100     -7.0000   978142.430348281516
           112.3200     -7.0000   978142.710845092777
           112.3300     -7.0000   978143.046828426654
           112.3400     -7.0000   978143.460766089265
           112.3500     -7.0000   978143.966505186167
           112.3600     -7.0000   978144.566341126570
           112.3700     -7.0000   978145.249448995455
           112.3800     -7.0000   978145.991946828668
           112.3900     -7.0000   978146.758666685782
           112.4000     -7.0000   978147.506496844464
           112.4100     -7.0000   978148.188953242265
           112.4200     -7.0000   978148.761467023171
           112.4300     -7.0000   978149.186760921730
           112.4400     -7.0000   978149.439647124964
           112.4500     -7.0000   978149.510621297057
           112.4600     -7.0000   978149.407749687671
           112.4700     -7.0000   978149.156536382274
           112.4800     -7.0000   978148.797694616485
           112.4900     -7.0000   978148.383001696318
           112.5000     -7.0000   978147.969660224509
           112.5100     -7.0000   978147.613788246643
           112.5200     -7.0000   978147.363791191019
           112.5300     -7.0000   978147.254410577472
           112.5400     -7.0000   978147.302190243034
           112.5500     -7.0000   978147.502953979536
           112.5600     -7.0000   978147.831664263154
           112.5700     -7.0000   978148.244755580672
           112.5800     -7.0000   978148.684740292607
           112.5900     -7.0000   978149.086605859222
           112.6000     -7.0000   978149.385294362786
           112.6100     -7.0000   978149.523407874745
           112.6200     -7.0000   978149.458236346953
           112.6300     -7.0000   978149.167266398901
           112.6400     -7.0000   978148.651494407211
           112.6500     -7.0000   978147.936117558856
           112.6600     -7.0000   978147.068482970237
           112.6700     -7.0000   978146.113501041895
           112.6800     -7.0000   978145.147035228438
           112.6900     -7.0000   978144.248028433649
           112.7000     -7.0000   978143.490284897736
           112.7100     -7.0000   978142.934874875355
           112.7200     -7.0000   978142.624060138245
           112.7300     -7.0000   978142.577458374551
           112.7400     -7.0000   978142.790894825943
           112.7500     -7.0000   978143.238062367542
           112.7600     -7.0000   978143.874766697874
           112.7700     -7.0000   978144.645214052871
           112.7800     -7.0000   978145.489544964745
           112.7900     -7.0000   978146.351661447436
           112.8000     -7.0000   978147.186357091996
           112.8100     -7.0000   978147.964845838258
           112.8200     -7.0000   978148.677986022551
           112.8300     -7.0000   978149.336787470034
           112.8400     -7.0000   978149.970135150710
           112.8500     -7.0000   978150.620020037750
           112.8600     -7.0000   978151.334891263978
           112.8700     -7.0000   978152.161992038484
           112.8800     -7.0000   978153.139682749985
           112.8900     -7.0000   978154.290769009385
           112.9000     -7.0000   978155.617736741900
           112.9100     -7.0000   978157.100563906948
           112.9200     -7.0000   978158.697457032045
           112.9300     -7.0000   978160.348490232835
           112.9400     -7.0000   978161.981751191313
           112.9500     -7.0000   978163.521270042984
           112.9600     -7.0000   978164.895765656955
           112.9700     -7.0000   978166.047121195705
           112.9800     -7.0000   978166.937514331425
           112.9900     -7.0000   978167.554277273477
           113.0000     -7.0000   978167.911830757046
           112.0000     -7.0100   978172.047913224320
           112.0100     -7.0100   978169.321885265177
           112.0200     -7.0100   978166.469428557553
           112.0300     -7.0100   978163.563290406135
           112.0400     -7.0100   978160.667887181975
           112.0500     -7.0100   978157.837579792016
           112.0600     -7.0100   978155.116171231377
           112.0700     -7.0100   978152.537488238537
           112.0800     -7.0100   978150.126787658897
           112.0900     -7.0100   978147.902646191651
           112.1000     -7.0100   978145.878959373338
           112.1100     -7.0100   978144.066694989800
           112.1200     -7.0100   978142.475114014698
           112.1300     -7.0100   978141.112278570770
           112.1400     -7.0100   978139.984796236153
           112.1500     -7.0100   978139.096884985222
           112.1600     -7.0100   978138.448964203126
           112.1700     -7.0100   978138.036067297100
           112.1800     -7.0100   978137.846417222987
           112.1900     -7.0100   978137.860500539187
           112.2000     -7.0100   978138.050918000401
           112.2100     -7.0100   978138.383187103551
           112.2200     -7.0100   978138.817537575145
           112.2300     -7.0100   978139.311592541868
           112.2400     -7.0100   978139.823686510092
           112.2500     -7.0100   978140.316456470755
           112.2600     -7.0100   978140.760271758190
           112.2700     -7.0100   978141.136053611641
           112.2800     -7.0100   978141.437081456650
           112.2900     -7.0100   978141.669486555038
           112.3000     -7.0100   978141.851283672266
           112.3100     -7.0100   978142.009970080806
           112.3200     -7.0100   978142.178906139568
           112.3300     -7.0100   978142.392858820618
           112.3400     -7.0100   978142.683216071106
           112.3500     -7.0100   978143.073447426781
           112.3600     -7.0100   978143.575383387157
           112.3700     -7.0100   978144.186809967621
           112.3800     -7.0100   978144.890732198604
           112.3900     -7.0100   978145.656466650544
           112.4000     -7.0100   978146.442500995938
           112.4100     -7.0100   978147.200835355208
           112.4200     -7.0100   978147.882324052858
           112.4300     -7.0100   978148.442393311183
           112.4400     -7.0100   978148.846440410009
           112.4500     -7.0100   978149.074234338477
           112.4600     -7.0100   978149.122738101054
           112.4700     -7.0100   978149.006948859431
           112.4800     -7.0100   978148.758584390511
           112.4900     -7.0100   978148.422705539386
           112.5000     -7.0100   978148.052622636082
           112.5100     -7.0100   978147.703656760510
           112.5200     -7.0100   978147.426485417527
           112.5300     -7.0100   978147.260874914937
           112.5400     -7.0100   978147.230577098322
           112.5500     -7.0100   978147.340046533616
           112.5600     -7.0100   978147.573428347707
           112.5700     -7.0100   978147.896000294131
           112.5800     -7.0100   978148.257956848829
           112.5900     -7.0100   978148.600134399603
           112.6000     -7.0100   978148.861030843109
           112.6100     -7.0100   978148.984301613411
           112.6200     -7.0100   978148.925840092241
           112.6300     -7.0100   978148.659584547509
           112.6400     -7.0100   978148.181334016961
           112.6500     -7.0100   978147.510086306371
           112.6600     -7.0100   978146.686705371598
           112.6700     -7.0100   978145.770047316211
           112.6800     -7.0100   978144.830984392553
           112.6900     -7.0100   978143.945026048226
           112.7000     -7.0100   978143.184412158094
           112.7100     -7.0100   978142.610623125802
           112.7200     -7.0100   978142.268204543390
           112.7300     -7.0100   978142.180645152112
           112.7400     -7.0100   978142.348794647492
           112.7500     -7.0100   978142.751993182581
           112.7600     -7.0100   978143.351746238419
           112.7700     -7.0100   978144.097459319746
           112.7800     -7.0100   978144.933487295290
           112.7900     -7.0100   978145.806586577091
           112.8000     -7.0100   978146.672806837130
           112.8100     -7.0100   978147.502930208691
           112.8200     -7.0100   978148.285752050346
           112.8300     -7.0100   978149.028775718529
           112.8400     -7.0100   978149.756229659542
           112.8500     -7.0100   978150.504666061024
           112.8600     -7.0100   978151.316721267416
           112.8700     -7.0100   978152.233867507661
           112.8800     -7.0100   978153.289130092715
           112.8900     -7.0100   978154.500764007098
           112.9000     -7.0100   978155.867774429149
           112.9100     -7.0100   978157.367939278600
           112.9200     -7.0100   978158.958675888716
           112.9300     -7.0100   978160.580727578490
           112.9400     -7.0100   978162.164275706629
           112.9500     -7.0100   978163.636756339925
           112.9600     -7.0100   978164.931420718669
           112.9700     -7.0100   978165.995557649177
           112.9800     -7.0100   978166.797311485512
           112.9900     -7.0100   978167.330181950587
           113.0000     -7.0100   978167.614564779331
           112.0000     -7.0200   978169.358756391681
           112.0100     -7.0200   978166.602464813390
           112.0200     -7.0200   978163.742776336730
           112.0300     -7.0200   978160.855063108611
           112.0400     -7.0200   978158.005196491024
           112.0500     -7.0200   978155.247653210885
           112.0600     -7.0200   978152.624959673965
           112.0700     -7.0200   978150.168347631930
           112.0800     -7.0200   978147.899358163821
           112.0900     -7.0200   978145.832033895655
