generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_ell  (centrifugal term included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        9999999.0000
       weighted_mean      9.7817002E+05 mgal
            maxvalue      9.7852267E+05 mgal
            minvalue      9.7808750E+05 mgal
         signal_wrms      8.3479434E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_ell
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000   978173.627047997317
           112.0100     -7.0000   978171.656912419945
           112.0200     -7.0000   978169.521728756721
           112.0300     -7.0000   978167.287211038289
           112.0400     -7.0000   978165.015344493557
           112.0500     -7.0000   978162.761793099344
           112.0600     -7.0000   978160.574174863519
           112.0700     -7.0000   978158.491230380954
           112.0800     -7.0000   978156.542808184982
           112.0900     -7.0000   978154.750505756703
           112.1000     -7.0000   978153.128747679410
           112.1100     -7.0000   978151.686058453633
           112.1200     -7.0000   978150.426298643230
           112.1300     -7.0000   978149.349676245824
           112.1400     -7.0000   978148.453413209063
           112.1500     -7.0000   978147.732029183768
           112.1600     -7.0000   978147.177288453095
           112.1700     -7.0000   978146.777928773430
           112.1800     -7.0000   978146.519341510138
           112.1900     -7.0000   978146.383392953430
           112.2000     -7.0000   978146.348563370062
           112.2100     -7.0000   978146.390534472885
           112.2200     -7.0000   978146.483283625450
           112.2300     -7.0000   978146.600654562237
           112.2400     -7.0000   978146.718282663845
           112.2500     -7.0000   978146.815672031138
           112.2600     -7.0000   978146.878164863447
           112.2700     -7.0000   978146.898521299940
           112.2800     -7.0000   978146.877845802694
           112.2900     -7.0000   978146.825654767104
           112.3000     -7.0000   978146.758973981370
           112.3100     -7.0000   978146.700473099481
           112.3200     -7.0000   978146.675772696617
           112.3300     -7.0000   978146.710180618567
           112.3400     -7.0000   978146.825211199000
           112.3500     -7.0000   978147.035298606032
           112.3600     -7.0000   978147.345123829786
           112.3700     -7.0000   978147.747929214616
           112.3800     -7.0000   978148.225097667309
           112.3900     -7.0000   978148.747135220328
           112.4000     -7.0000   978149.276031056885
           112.4100     -7.0000   978149.768798118457
           112.4200     -7.0000   978150.181841570418
           112.4300     -7.0000   978150.475682290969
           112.4400     -7.0000   978150.619495101157
           112.4500     -7.0000   978150.594917571638
           112.4600     -7.0000   978150.398648175178
           112.4700     -7.0000   978150.043477156782
           112.4800     -7.0000   978149.557566593983
           112.4900     -7.0000   978148.981997941271
           112.5000     -7.0000   978148.366811825894
           112.5100     -7.0000   978147.765950532397
           112.5200     -7.0000   978147.231654880219
           112.5300     -7.0000   978146.808945424156
           112.5400     -7.0000   978146.530821752152
           112.5500     -7.0000   978146.414741001790
           112.5600     -7.0000   978146.460794833372
           112.5700     -7.0000   978146.651809218223
           112.5800     -7.0000   978146.955366648152
           112.5900     -7.0000   978147.327523072949
           112.6000     -7.0000   978147.717790100956
           112.6100     -7.0000   978148.074802017771
           112.6200     -7.0000   978148.352006200003
           112.6300     -7.0000   978148.512715124409
           112.6400     -7.0000   978148.533938915818
           112.6500     -7.0000   978148.408569479594
           112.6600     -7.0000   978148.145691872225
           112.6700     -7.0000   978147.769029975403
           112.6800     -7.0000   978147.313762487029
           112.6900     -7.0000   978146.822142670979
           112.7000     -7.0000   978146.338496061857
           112.7100     -7.0000   978145.904236459523
           112.7200     -7.0000   978145.553523809882
           112.7300     -7.0000   978145.310090360232
           112.7400     -7.0000   978145.185596818454
           112.7500     -7.0000   978145.179669980891
           112.7600     -7.0000   978145.281545364182
           112.7700     -7.0000   978145.473023126018
           112.7800     -7.0000   978145.732271768502
           112.7900     -7.0000   978146.037905092700
           112.8000     -7.0000   978146.372728404356
           112.8100     -7.0000   978146.726604169467
           112.8200     -7.0000   978147.098018041230
           112.8300     -7.0000   978147.494115893729
           112.8400     -7.0000   978147.929205434397
           112.8500     -7.0000   978148.421941608423
           112.8600     -7.0000   978148.991612109239
           112.8700     -7.0000   978149.654080078588
           112.8800     -7.0000   978150.418005024898
           112.8900     -7.0000   978151.281939849025
           112.9000     -7.0000   978152.232793075149
           112.9100     -7.0000   978153.245964159840
           112.9200     -7.0000   978154.287229530630
           112.9300     -7.0000   978155.316208404140
           112.9400     -7.0000   978156.291004311526
           112.9500     -7.0000   978157.173433199408
           112.9600     -7.0000   978157.934138825047
           112.9700     -7.0000   978158.556878344622
           112.9800     -7.0000   978159.041340872063
           112.9900     -7.0000   978159.404031740851
           113.0000     -7.0000   978159.676995275775
           112.0000     -7.0100   978172.814514840953
           112.0100     -7.0100   978170.816036904231
           112.0200     -7.0100   978168.661859122338
           112.0300     -7.0100   978166.419843685231
           112.0400     -7.0100   978164.153057940188
           112.0500     -7.0100   978161.917112246621
           112.0600     -7.0100   978159.758508775616
           112.0700     -7.0100   978157.714021238964
           112.0800     -7.0100   978155.811004539370
           112.0900     -7.0100   978154.068432067055
           112.1000     -7.0100   978152.498389108689
           112.1100     -7.0100   978151.107721647364
           112.1200     -7.0100   978149.899553402211
           112.1300     -7.0100   978148.874437357532
           112.1400     -7.0100   978148.030992946704
           112.1500     -7.0100   978147.365983960335
           112.1600     -7.0100   978146.873899941798
           112.1700     -7.0100   978146.546199609409
           112.1800     -7.0100   978146.370444466360
           112.1900     -7.0100   978146.329583584680
           112.2000     -7.0100   978146.401640962693
           112.2100     -7.0100   978146.560005201609
           112.2200     -7.0100   978146.774433927960
           112.2300     -7.0100   978147.012774112867
           112.2400     -7.0100   978147.243279751390
           112.2500     -7.0100   978147.437297625234
           112.2600     -7.0100   978147.572006875183
           112.2700     -7.0100   978147.632852701354
           112.2800     -7.0100   978147.615317656309
           112.2900     -7.0100   978147.525728211971
           112.3000     -7.0100   978147.380895138951
           112.3100     -7.0100   978147.206522633554
           112.3200     -7.0100   978147.034476509900
           112.3300     -7.0100   978146.899156192318
           112.3400     -7.0100   978146.833347879467
           112.3500     -7.0100   978146.864028185140
           112.3600     -7.0100   978147.008624418406
           112.3700     -7.0100   978147.272211644216
           112.3800     -7.0100   978147.646037991159
           112.3900     -7.0100   978148.107626664569
           112.4000     -7.0100   978148.622521704761
           112.4100     -7.0100   978149.147546096705
           112.4200     -7.0100   978149.635250028339
           112.4300     -7.0100   978150.039068323327
           112.4400     -7.0100   978150.318600682309
           112.4500     -7.0100   978150.444391544792
           112.4600     -7.0100   978150.401625093305
           112.4700     -7.0100   978150.192262777011
           112.4800     -7.0100   978149.835323978681
           112.4900     -7.0100   978149.365225222660
           112.5000     -7.0100   978148.828324037837
           112.5100     -7.0100   978148.278031946160
           112.5200     -7.0100   978147.769039699691
           112.5300     -7.0100   978147.351313853404
           112.5400     -7.0100   978147.064561495208
           112.5500     -7.0100   978146.933813455864
           112.5600     -7.0100   978146.966650076909
           112.5700     -7.0100   978147.152402192587
           112.5800     -7.0100   978147.463426375529
           112.5900     -7.0100   978147.858306257986
           112.6000     -7.0100   978148.286601458094
           112.6100     -7.0100   978148.694581068587
           112.6200     -7.0100   978149.031262944336
           112.6300     -7.0100   978149.254047843744
           112.6400     -7.0100   978149.333292893018
           112.6500     -7.0100   978149.255304922466
           112.6600     -7.0100   978149.023433659459
           112.6700     -7.0100   978148.657182200230
           112.6800     -7.0100   978148.189497337444
           112.6900     -7.0100   978147.662623949349
           112.7000     -7.0100   978147.123077551718
           112.7100     -7.0100   978146.616385838599
           112.7200     -7.0100   978146.182261639507
           112.7300     -7.0100   978145.850795470644
           112.7400     -7.0100   978145.640106201288
           112.7500     -7.0100   978145.555683695944
           112.7600     -7.0100   978145.591425240971
           112.7700     -7.0100   978145.732139302767
           112.7800     -7.0100   978145.957096316502
           112.7900     -7.0100   978146.244072741363
           112.8000     -7.0100   978146.573279302684
           112.8100     -7.0100   978146.930594441947
           112.8200     -7.0100   978147.309635058395
           112.8300     -7.0100   978147.712373244576
           112.8400     -7.0100   978148.148225328419
           112.8500     -7.0100   978148.631767879124
           112.8600     -7.0100   978149.179442394292
           112.8700     -7.0100   978149.805766808684
           112.8800     -7.0100   978150.519655106589
           112.8900     -7.0100   978151.321443370311
           112.9000     -7.0100   978152.201130567351
           112.9100     -7.0100   978153.138176317327
           112.9200     -7.0100   978154.102977631032
           112.9300     -7.0100   978155.059901971486
           112.9400     -7.0100   978155.971518800943
           112.9500     -7.0100   978156.803479320602
           112.9600     -7.0100   978157.529372656019
           112.9700     -7.0100   978158.134855441982
           112.9800     -7.0100   978158.620417957893
           112.9900     -7.0100   978159.002307830728
           113.0000     -7.0100   978159.311363389948
           112.0000     -7.0200   978171.149371773121
           112.0100     -7.0200   978169.135017713765
           112.0200     -7.0200   978166.985945997993
           112.0300     -7.0200   978164.771729811560
           112.0400     -7.0200   978162.555816977168
           112.0500     -7.0200   978160.392794665997
           112.0600     -7.0200   978158.326814586762
           112.0700     -7.0200   978156.391197136603
           112.0800     -7.0200   978154.609092622763
           112.0900     -7.0200   978152.994958654745
