generating_institute     gfz-potsdam
     generating_date     2026/05/23
        product_type     gravity_field
                body     earth
           modelname     egm2008
     max_used_degree          2190
         tide_system     tide_free
          functional     height_anomaly_ell
    zero_degree_term     included
                unit     meter
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue            999.0000
       weighted_mean      2.9529546E+01 meter
            maxvalue      3.4363176E+01 meter
            minvalue      2.6948682E+01 meter
         signal_wrms      1.3888052E+00 meter
         grid_format     long_lat_value

          longitude    latitude    height_anomaly_ell
            [deg.]      [deg.]         [meter]
end_of_head ============================================
           112.0000     -7.0000       29.431768465484
           112.0100     -7.0000       29.434706539880
           112.0200     -7.0000       29.436633557167
           112.0300     -7.0000       29.437919189705
           112.0400     -7.0000       29.438910313173
           112.0500     -7.0000       29.439921814991
           112.0600     -7.0000       29.441231225798
           112.0700     -7.0000       29.443076900651
           112.0800     -7.0000       29.445659111046
           112.0900     -7.0000       29.449143155575
           112.1000     -7.0000       29.453663482341
           112.1100     -7.0000       29.459327848269
           112.1200     -7.0000       29.466220707614
           112.1300     -7.0000       29.474405295304
           112.1400     -7.0000       29.483924207530
           112.1500     -7.0000       29.494798631410
           112.1600     -7.0000       29.507026685864
           112.1700     -7.0000       29.520581560846
           112.1800     -7.0000       29.535410248038
           112.1900     -7.0000       29.551433625675
           112.2000     -7.0000       29.568548495844
           112.2100     -7.0000       29.586631895691
           112.2200     -7.0000       29.605547653035
           112.2300     -7.0000       29.625154781747
           112.2400     -7.0000       29.645316968293
           112.2500     -7.0000       29.665912140752
           112.2600     -7.0000       29.686840978536
           112.2700     -7.0000       29.708033241988
           112.2800     -7.0000       29.729450982710
           112.2900     -7.0000       29.751088022470
           112.3000     -7.0000       29.772965524735
           112.3100     -7.0000       29.795123975172
           112.3200     -7.0000       29.817612372509
           112.3300     -7.0000       29.840475843369
           112.3400     -7.0000       29.863743174709
           112.3500     -7.0000       29.887415860799
           112.3600     -7.0000       29.911460164677
           112.3700     -7.0000       29.935803398411
           112.3800     -7.0000       29.960335160149
           112.3900     -7.0000       29.984913680094
           112.4000     -7.0000       30.009376791557
           112.4100     -7.0000       30.033556436041
           112.4200     -7.0000       30.057295111703
           112.4300     -7.0000       30.080462351020
           112.4400     -7.0000       30.102969215034
           112.4500     -7.0000       30.124778940513
           112.4600     -7.0000       30.145912264585
           112.4700     -7.0000       30.166446540115
           112.4800     -7.0000       30.186508478601
           112.4900     -7.0000       30.206261130587
           112.5000     -7.0000       30.225886441788
           112.5100     -7.0000       30.245565314111
           112.5200     -7.0000       30.265457475872
           112.5300     -7.0000       30.285683570774
           112.5400     -7.0000       30.306311688332
           112.5500     -7.0000       30.327350092815
           112.5600     -7.0000       30.348747212172
           112.5700     -7.0000       30.370399101412
           112.5800     -7.0000       30.392163696403
           112.5900     -7.0000       30.413880333146
           112.6000     -7.0000       30.435392329182
           112.6100     -7.0000       30.456569995536
           112.6200     -7.0000       30.477331328351
           112.6300     -7.0000       30.497657841284
           112.6400     -7.0000       30.517603524363
           112.6500     -7.0000       30.537295695078
           112.6600     -7.0000       30.556927452581
           112.6700     -7.0000       30.576742443643
           112.6800     -7.0000       30.597013577922
           112.6900     -7.0000       30.618018075301
           112.7000     -7.0000       30.640011694811
           112.7100     -7.0000       30.663205121516
           112.7200     -7.0000       30.687745253980
           112.7300     -7.0000       30.713703564458
           112.7400     -7.0000       30.741072862671
           112.7500     -7.0000       30.769772782539
           112.7600     -7.0000       30.799663252736
           112.7700     -7.0000       30.830564237089
           112.7800     -7.0000       30.862279261626
           112.7900     -7.0000       30.894619779418
           112.8000     -7.0000       30.927427323216
           112.8100     -7.0000       30.960590675587
           112.8200     -7.0000       30.994055915270
           112.8300     -7.0000       31.027828101174
           112.8400     -7.0000       31.061964420910
           112.8500     -7.0000       31.096559726110
           112.8600     -7.0000       31.131726364043
           112.8700     -7.0000       31.167570968025
           112.8800     -7.0000       31.204171290031
           112.8900     -7.0000       31.241556190451
           112.9000     -7.0000       31.279691533774
           112.9100     -7.0000       31.318474016719
           112.9200     -7.0000       31.357733964448
           112.9300     -7.0000       31.397246993435
           112.9400     -7.0000       31.436753298946
           112.9500     -7.0000       31.475982325697
           112.9600     -7.0000       31.514679850911
           112.9700     -7.0000       31.552634145811
           112.9800     -7.0000       31.589697935684
           112.9900     -7.0000       31.625803348711
           113.0000     -7.0000       31.660967876061
           112.0000     -7.0100       29.381207164684
           112.0100     -7.0100       29.383942431549
           112.0200     -7.0100       29.385706425967
           112.0300     -7.0100       29.386881302081
           112.0400     -7.0100       29.387823776251
           112.0500     -7.0100       29.388855227760
           112.0600     -7.0100       29.390255955010
           112.0700     -7.0100       29.392263347769
           112.0800     -7.0100       29.395073326746
           112.0900     -7.0100       29.398844104938
           112.1000     -7.0100       29.403701173067
           112.1100     -7.0100       29.409742417209
           112.1200     -7.0100       29.417042432792
           112.1300     -7.0100       29.425655378448
           112.1400     -7.0100       29.435616072502
           112.1500     -7.0100       29.446939421073
           112.1600     -7.0100       29.459618623137
           112.1700     -7.0100       29.473622872610
           112.1800     -7.0100       29.488895429781
           112.1900     -7.0100       29.505352940787
           112.2000     -7.0100       29.522886741083
           112.2100     -7.0100       29.541366605048
           112.2200     -7.0100       29.560647036150
           112.2300     -7.0100       29.580575781852
           112.2400     -7.0100       29.601003863815
           112.2500     -7.0100       29.621796095694
           112.2600     -7.0100       29.642840868330
           112.2700     -7.0100       29.664057950180
           112.2800     -7.0100       29.685403193345
           112.2900     -7.0100       29.706869342961
           112.3000     -7.0100       29.728482587244
           112.3100     -7.0100       29.750295004925
           112.3200     -7.0100       29.772373600550
           112.3300     -7.0100       29.794787095529
           112.3400     -7.0100       29.817591997514
           112.3500     -7.0100       29.840819649353
           112.3600     -7.0100       29.864465929057
           112.3700     -7.0100       29.888485027338
           112.3800     -7.0100       29.912788290542
           112.3900     -7.0100       29.937248531503
           112.4000     -7.0100       29.961709547382
           112.4100     -7.0100       29.985999923176
           112.4200     -7.0100       30.009949626396
           112.4300     -7.0100       30.033407488861
           112.4400     -7.0100       30.056257483876
           112.4500     -7.0100       30.078431773610
           112.4600     -7.0100       30.099918823305
           112.4700     -7.0100       30.120765424832
           112.4800     -7.0100       30.141072181271
           112.4900     -7.0100       30.160982793307
           112.5000     -7.0100       30.180668260949
           112.5100     -7.0100       30.200307773290
           112.5200     -7.0100       30.220068518696
           112.5300     -7.0100       30.240086844587
           112.5400     -7.0100       30.260453097647
           112.5500     -7.0100       30.281202085732
           112.5600     -7.0100       30.302310462568
           112.5700     -7.0100       30.323701518529
           112.5800     -7.0100       30.345256962613
           112.5900     -7.0100       30.366834411736
           112.6000     -7.0100       30.388288572429
           112.6100     -7.0100       30.409493600719
           112.6200     -7.0100       30.430363925620
           112.6300     -7.0100       30.450870951250
           112.6400     -7.0100       30.471053502794
           112.6500     -7.0100       30.491020602572
           112.6600     -7.0100       30.510946069889
           112.6700     -7.0100       30.531055422718
           112.6800     -7.0100       30.551606499658
           112.6900     -7.0100       30.572865999539
           112.7000     -7.0100       30.595084654238
           112.7100     -7.0100       30.618473939723
           112.7200     -7.0100       30.643187063056
           112.7300     -7.0100       30.669306455669
           112.7400     -7.0100       30.696839215115
           112.7500     -7.0100       30.725720964312
           112.7600     -7.0100       30.755827559336
           112.7700     -7.0100       30.786993103901
           112.7800     -7.0100       30.819031944278
           112.7900     -7.0100       30.851761823392
           112.8000     -7.0100       30.885025232841
           112.8100     -7.0100       30.918706237779
           112.8200     -7.0100       30.952740635568
           112.8300     -7.0100       30.987118173653
           112.8400     -7.0100       31.021876587406
           112.8500     -7.0100       31.057088293934
           112.8600     -7.0100       31.092841555265
           112.8700     -7.0100       31.129218677020
           112.8800     -7.0100       31.166274236621
           112.8900     -7.0100       31.204016378788
           112.9000     -7.0100       31.242393864265
           112.9100     -7.0100       31.281290849787
           112.9200     -7.0100       31.320530399158
           112.9300     -7.0100       31.359886598438
           112.9400     -7.0100       31.399104015594
           112.9500     -7.0100       31.437922252162
           112.9600     -7.0100       31.476102611729
           112.9700     -7.0100       31.513453555115
           112.9800     -7.0100       31.549851677296
           112.9900     -7.0100       31.585255425838
           113.0000     -7.0100       31.619709630767
           112.0000     -7.0200       29.327385690852
           112.0100     -7.0200       29.330119477356
           112.0200     -7.0200       29.331959872496
           112.0300     -7.0200       29.333296383115
           112.0400     -7.0200       29.334489766513
           112.0500     -7.0200       29.335861515511
           112.0600     -7.0200       29.337687842990
           112.0700     -7.0200       29.340197969707
           112.0800     -7.0200       29.343576064940
           112.0900     -7.0200       29.347965845960
           112.1000     -7.0200       29.353476647841
           112.1100     -7.0200       29.360189748893
           112.1200     -7.0200       29.368163875847
           112.1300     -7.0200       29.377439092697
           112.1400     -7.0200       29.388038655092
           112.1500     -7.0200       29.399968833239
           112.1600     -7.0200       29.413217109761
           112.1700     -7.0200       29.427749486985
           112.1800     -7.0200       29.443507843133
           112.1900     -7.0200       29.460408328379
