generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     eigen-6c4
     max_used_degree          2190
         tide_system     tide_free
          functional     height_anomaly_ell
    zero_degree_term     included
                unit     meter
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue            999.0000
       weighted_mean      2.9564957E+01 meter
            maxvalue      3.4248800E+01 meter
            minvalue      2.7084513E+01 meter
         signal_wrms      1.3483489E+00 meter
         grid_format     long_lat_value

          longitude    latitude    height_anomaly_ell
            [deg.]      [deg.]         [meter]
end_of_head ============================================
           112.0000     -7.0000       29.404656244961
           112.0100     -7.0000       29.407467614848
           112.0200     -7.0000       29.409253734399
           112.0300     -7.0000       29.410380359326
           112.0400     -7.0000       29.411191199534
           112.0500     -7.0000       29.411998956193
           112.0600     -7.0000       29.413080063479
           112.0700     -7.0000       29.414672849669
           112.0800     -7.0000       29.416978482440
           112.0900     -7.0000       29.420163825369
           112.1000     -7.0000       29.424365231210
           112.1100     -7.0000       29.429692338902
           112.1200     -7.0000       29.436231112744
           112.1300     -7.0000       29.444045634059
           112.1400     -7.0000       29.453178485354
           112.1500     -7.0000       29.463649904527
           112.1600     -7.0000       29.475456181608
           112.1700     -7.0000       29.488567978806
           112.1800     -7.0000       29.502929344328
           112.1900     -7.0000       29.518458146632
           112.2000     -7.0000       29.535048482426
           112.2100     -7.0000       29.552575331627
           112.2200     -7.0000       29.570901384532
           112.2300     -7.0000       29.589885600281
           112.2400     -7.0000       29.609392725498
           112.2500     -7.0000       29.629302758911
           112.2600     -7.0000       29.649519232557
           112.2700     -7.0000       29.669975217722
           112.2800     -7.0000       29.690636158450
           112.2900     -7.0000       29.711498970193
           112.3000     -7.0000       29.732587278607
           112.3100     -7.0000       29.753943160438
           112.3200     -7.0000       29.775616221958
           112.3300     -7.0000       29.797651246401
           112.3400     -7.0000       29.820075903071
           112.3500     -7.0000       29.842890094944
           112.3600     -7.0000       29.866058407806
           112.3700     -7.0000       29.889506816055
           112.3800     -7.0000       29.913124327770
           112.3900     -7.0000       29.936769666819
           112.4000     -7.0000       29.960282461754
           112.4100     -7.0000       29.983497818239
           112.4200     -7.0000       30.006262670656
           112.4300     -7.0000       30.028452005639
           112.4400     -7.0000       30.049982971827
           112.4500     -7.0000       30.070825055968
           112.4600     -7.0000       30.091004905228
           112.4700     -7.0000       30.110604968927
           112.4800     -7.0000       30.129755853538
           112.4900     -7.0000       30.148623047964
           112.5000     -7.0000       30.167389388311
           112.5100     -7.0000       30.186235202396
           112.5200     -7.0000       30.205318428096
           112.5300     -7.0000       30.224757084847
           112.5400     -7.0000       30.244616274572
           112.5500     -7.0000       30.264901412391
           112.5600     -7.0000       30.285558688707
           112.5700     -7.0000       30.306482921493
           112.5800     -7.0000       30.327532070259
           112.5900     -7.0000       30.348546858666
           112.6000     -7.0000       30.369373293934
           112.6100     -7.0000       30.389885463091
           112.6200     -7.0000       30.410005885077
           112.6300     -7.0000       30.429720923452
           112.6400     -7.0000       30.449089297124
           112.6500     -7.0000       30.468242507641
           112.6600     -7.0000       30.487376941207
           112.6700     -7.0000       30.506738389828
           112.6800     -7.0000       30.526600649613
           112.6900     -7.0000       30.547240581981
           112.7000     -7.0000       30.568912473604
           112.7100     -7.0000       30.591824643677
           112.7200     -7.0000       30.616121003975
           112.7300     -7.0000       30.641869702869
           112.7400     -7.0000       30.669060145461
           112.7500     -7.0000       30.697608678028
           112.7600     -7.0000       30.727372178129
           112.7700     -7.0000       30.758167830582
           112.7800     -7.0000       30.789796614159
           112.7900     -7.0000       30.822067569767
           112.8000     -7.0000       30.854819827710
           112.8100     -7.0000       30.887939654191
           112.8200     -7.0000       30.921370403951
           112.8300     -7.0000       30.955114161541
           112.8400     -7.0000       30.989224908535
           112.8500     -7.0000       31.023794136957
           112.8600     -7.0000       31.058930804317
           112.8700     -7.0000       31.094738268931
           112.8800     -7.0000       31.131291259271
           112.8900     -7.0000       31.168615962096
           112.9000     -7.0000       31.206675952592
           112.9100     -7.0000       31.245365977128
           112.9200     -7.0000       31.284514621291
           112.9300     -7.0000       31.323895773380
           112.9400     -7.0000       31.363247666625
           112.9500     -7.0000       31.402297294773
           112.9600     -7.0000       31.440787272138
           112.9700     -7.0000       31.478501845708
           112.9800     -7.0000       31.515288814157
           112.9900     -7.0000       31.551074566020
           113.0000     -7.0000       31.585870264442
           112.0000     -7.0100       29.357909419911
           112.0100     -7.0100       29.360465198766
           112.0200     -7.0100       29.362034685892
           112.0300     -7.0100       29.362996239209
           112.0400     -7.0100       29.363703530705
           112.0500     -7.0100       29.364475874641
           112.0600     -7.0100       29.365592586977
           112.0700     -7.0100       29.367291125480
           112.0800     -7.0100       29.369768367418
           112.0900     -7.0100       29.373184101029
           112.1000     -7.0100       29.377665668497
           112.1100     -7.0100       29.383312713276
           112.1200     -7.0100       29.390201144512
           112.1300     -7.0100       29.398385708325
           112.1400     -7.0100       29.407900906868
           112.1500     -7.0100       29.418760379023
           112.1600     -7.0100       29.430955196480
           112.1700     -7.0100       29.444451785680
           112.1800     -7.0100       29.459190321438
           112.1900     -7.0100       29.475084430582
           112.2000     -7.0100       29.492022892291
           112.2100     -7.0100       29.509873745407
           112.2200     -7.0100       29.528490849228
           112.2300     -7.0100       29.547722544388
           112.2400     -7.0100       29.567421682191
           112.2500     -7.0100       29.587455991081
           112.2600     -7.0100       29.607717575903
           112.2700     -7.0100       29.628130331449
           112.2800     -7.0100       29.648654208199
           112.2900     -7.0100       29.669285583517
           112.3000     -7.0100       29.690053432215
           112.3100     -7.0100       29.711011503567
           112.3200     -7.0100       29.732227232836
           112.3300     -7.0100       29.753768574884
           112.3400     -7.0100       29.775690281412
           112.3500     -7.0100       29.798021300985
           112.3600     -7.0100       29.820754932610
           112.3700     -7.0100       29.843843104935
           112.3800     -7.0100       29.867195707219
           112.3900     -7.0100       29.890685313438
           112.4000     -7.0100       29.914156985564
           112.4100     -7.0100       29.937442196552
           112.4200     -7.0100       29.960375360235
           112.4300     -7.0100       29.982811068034
           112.4400     -7.0100       30.004639966732
           112.4500     -7.0100       30.025801297003
           112.4600     -7.0100       30.046290447724
           112.4700     -7.0100       30.066160433238
           112.4800     -7.0100       30.085516908359
           112.4900     -7.0100       30.104507115592
           112.5000     -7.0100       30.123303915919
           112.5100     -7.0100       30.142086693245
           112.5200     -7.0100       30.161021359903
           112.5300     -7.0100       30.180241865899
           112.5400     -7.0100       30.199835498234
           112.5500     -7.0100       30.219833854909
           112.5600     -7.0100       30.240210732942
           112.5700     -7.0100       30.260887354634
           112.5800     -7.0100       30.281744467987
           112.5900     -7.0100       30.302640003893
           112.6000     -7.0100       30.323430261052
           112.6100     -7.0100       30.343992110798
           112.6200     -7.0100       30.364243532683
           112.6300     -7.0100       30.384159936384
           112.6400     -7.0100       30.403784185096
           112.6500     -7.0100       30.423228959319
           112.6600     -7.0100       30.442671003174
           112.6700     -7.0100       30.462337769543
           112.6800     -7.0100       30.482487906102
           112.6900     -7.0100       30.503387786210
           112.7000     -7.0100       30.525286789970
           112.7100     -7.0100       30.548394215592
           112.7200     -7.0100       30.572860523628
           112.7300     -7.0100       30.598765104364
           112.7400     -7.0100       30.626111971586
           112.7500     -7.0100       30.654833819273
           112.7600     -7.0100       30.684803850610
           112.7700     -7.0100       30.715853829128
           112.7800     -7.0100       30.747796031085
           112.7900     -7.0100       30.780446295350
           112.8000     -7.0100       30.813645235667
           112.8100     -7.0100       30.847274920406
           112.8200     -7.0100       30.881268909825
           112.8300     -7.0100       30.915614399425
           112.8400     -7.0100       30.950346243731
           112.8500     -7.0100       30.985533698234
           112.8600     -7.0100       31.021261682800
           112.8700     -7.0100       31.057609112383
           112.8800     -7.0100       31.094627262303
           112.8900     -7.0100       31.132321177070
           112.9000     -7.0100       31.170636783087
           112.9100     -7.0100       31.209455665513
           112.9200     -7.0100       31.248598502732
           112.9300     -7.0100       31.287837038254
           112.9400     -7.0100       31.326913350042
           112.9500     -7.0100       31.365564194955
           112.9600     -7.0100       31.403547489471
           112.9700     -7.0100       31.440667633647
           112.9800     -7.0100       31.476796445306
           112.9900     -7.0100       31.511886945451
           113.0000     -7.0100       31.545978071288
           112.0000     -7.0200       29.307982223839
           112.0100     -7.0200       29.310485597512
           112.0200     -7.0200       29.312078685894
           112.0300     -7.0200       29.313147433650
           112.0400     -7.0200       29.314049819175
           112.0500     -7.0200       29.315105556671
           112.0600     -7.0200       29.316590168369
           112.0700     -7.0200       29.318733220857
           112.0800     -7.0200       29.321720082613
           112.0900     -7.0200       29.325696232912
           112.1000     -7.0200       29.330772971718
           112.1100     -7.0200       29.337033363069
           112.1200     -7.0200       29.344537386774
           112.1300     -7.0200       29.353325549974
           112.1400     -7.0200       29.363420578967
           112.1500     -7.0200       29.374827218552
           112.1600     -7.0200       29.387530551971
           112.1700     -7.0200       29.401493563744
           112.1800     -7.0200       29.416654855024
           112.1900     -7.0200       29.432927458330
