generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     height_anomaly_ell
    zero_degree_term     included
                unit     meter
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue            999.0000
       weighted_mean      2.9593558E+01 meter
            maxvalue      3.4291203E+01 meter
            minvalue      2.7059887E+01 meter
         signal_wrms      1.3845658E+00 meter
         grid_format     long_lat_value

          longitude    latitude    height_anomaly_ell
            [deg.]      [deg.]         [meter]
end_of_head ============================================
           112.0000     -7.0000       29.411028301898
           112.0100     -7.0000       29.419887488940
           112.0200     -7.0000       29.427810469194
           112.0300     -7.0000       29.435125442336
           112.0400     -7.0000       29.442149245206
           112.0500     -7.0000       29.449175163989
           112.0600     -7.0000       29.456463729795
           112.0700     -7.0000       29.464236761380
           112.0800     -7.0000       29.472674575460
           112.0900     -7.0000       29.481915985280
           112.1000     -7.0000       29.492060484570
           112.1100     -7.0000       29.503171889213
           112.1200     -7.0000       29.515282691565
           112.1300     -7.0000       29.528398466903
           112.1400     -7.0000       29.542501838973
           112.1500     -7.0000       29.557555732367
           112.1600     -7.0000       29.573505877186
           112.1700     -7.0000       29.590282748441
           112.1800     -7.0000       29.607803284662
           112.1900     -7.0000       29.625972811969
           112.2000     -7.0000       29.644687587968
           112.2100     -7.0000       29.663838275559
           112.2200     -7.0000       29.683314475431
           112.2300     -7.0000       29.703010215660
           112.2400     -7.0000       29.722830054091
           112.2500     -7.0000       29.742695234070
           112.2600     -7.0000       29.762549184773
           112.2700     -7.0000       29.782361603794
           112.2800     -7.0000       29.802130419346
           112.2900     -7.0000       29.821881104038
           112.3000     -7.0000       29.841663086525
           112.3100     -7.0000       29.861543350624
           112.3200     -7.0000       29.881597680898
           112.3300     -7.0000       29.901900359638
           112.3400     -7.0000       29.922513392902
           112.3500     -7.0000       29.943476499799
           112.3600     -7.0000       29.964799109524
           112.3700     -7.0000       29.986455462613
           112.3800     -7.0000       30.008383614745
           112.3900     -7.0000       30.030488721995
           112.4000     -7.0000       30.052650492004
           112.4100     -7.0000       30.074734174952
           112.4200     -7.0000       30.096604005499
           112.4300     -7.0000       30.118137653084
           112.4400     -7.0000       30.139240043231
           112.4500     -7.0000       30.159854908854
           112.4600     -7.0000       30.179972627025
           112.4700     -7.0000       30.199633277346
           112.4800     -7.0000       30.218924383009
           112.4900     -7.0000       30.237973405219
           112.5000     -7.0000       30.256935683479
           112.5100     -7.0000       30.275979071993
           112.5200     -7.0000       30.295266945440
           112.5300     -7.0000       30.314941479825
           112.5400     -7.0000       30.335109122555
           112.5500     -7.0000       30.355829944071
           112.5600     -7.0000       30.377112133682
           112.5700     -7.0000       30.398912313624
           112.5800     -7.0000       30.421141667503
           112.5900     -7.0000       30.443677194332
           112.6000     -7.0000       30.466376791683
           112.6100     -7.0000       30.489096416837
           112.6200     -7.0000       30.511707330886
           112.6300     -7.0000       30.534111429091
           112.6400     -7.0000       30.556252902900
           112.6500     -7.0000       30.578124935470
           112.6600     -7.0000       30.599770746474
           112.6700     -7.0000       30.621278996294
           112.6800     -7.0000       30.642774246539
           112.6900     -7.0000       30.664403766117
           112.7000     -7.0000       30.686322394470
           112.7100     -7.0000       30.708677372733
           112.7200     -7.0000       30.731595004796
           112.7300     -7.0000       30.755170721359
           112.7400     -7.0000       30.779463630238
           112.7500     -7.0000       30.804496011142
           112.7600     -7.0000       30.830257536616
           112.7700     -7.0000       30.856713363516
           112.7800     -7.0000       30.883814727065
           112.7900     -7.0000       30.911510351319
           112.8000     -7.0000       30.939756909139
           112.8100     -7.0000       30.968526932899
           112.8200     -7.0000       30.997812971642
           112.8300     -7.0000       31.027627357806
           112.8400     -7.0000       31.057997609082
           112.8500     -7.0000       31.088958156796
           112.8600     -7.0000       31.120539667853
           112.8700     -7.0000       31.152757630311
           112.8800     -7.0000       31.185602042922
           112.8900     -7.0000       31.219029957407
           112.9000     -7.0000       31.252962275141
           112.9100     -7.0000       31.287285639189
           112.9200     -7.0000       31.321859560340
           112.9300     -7.0000       31.356528165513
           112.9400     -7.0000       31.391135261256
           112.9500     -7.0000       31.425540862007
           112.9600     -7.0000       31.459637022455
           112.9700     -7.0000       31.493360786619
           112.9800     -7.0000       31.526702337208
           112.9900     -7.0000       31.559706971818
           113.0000     -7.0000       31.592470284665
           112.0000     -7.0100       29.371639778897
           112.0100     -7.0100       29.380393374510
           112.0200     -7.0100       29.388227989992
           112.0300     -7.0100       29.395480616718
           112.0400     -7.0100       29.402473891526
           112.0500     -7.0100       29.409503497137
           112.0600     -7.0100       29.416828981565
           112.0700     -7.0100       29.424668258087
           112.0800     -7.0100       29.433195645454
           112.0900     -7.0100       29.442542955569
           112.1000     -7.0100       29.452802873111
           112.1100     -7.0100       29.464033726916
           112.1200     -7.0100       29.476264738592
           112.1300     -7.0100       29.489500944841
           112.1400     -7.0100       29.503727204848
           112.1500     -7.0100       29.518910987515
           112.1600     -7.0100       29.535003941446
           112.1700     -7.0100       29.551942536287
           112.1800     -7.0100       29.569648284224
           112.1900     -7.0100       29.588028171260
           112.2000     -7.0100       29.606975930159
           112.2100     -7.0100       29.626374668709
           112.2200     -7.0100       29.646101144220
           112.2300     -7.0100       29.666031679846
           112.2400     -7.0100       29.686049394340
           112.2500     -7.0100       29.706052113832
           112.2600     -7.0100       29.725960101031
           112.2700     -7.0100       29.745722614501
           112.2800     -7.0100       29.765322325159
           112.2900     -7.0100       29.784776776992
           112.3000     -7.0100       29.804136372082
           112.3100     -7.0100       29.823478754626
           112.3200     -7.0100       29.842899916790
           112.3300     -7.0100       29.862502793149
           112.3400     -7.0100       29.882384489164
           112.3500     -7.0100       29.902623547635
           112.3600     -7.0100       29.923268753167
           112.3700     -7.0100       29.944330885936
           112.3800     -7.0100       29.965778563232
           112.3900     -7.0100       29.987538875594
           112.4000     -7.0100       30.009502980873
           112.4100     -7.0100       30.031536228158
           112.4200     -7.0100       30.053491817047
           112.4300     -7.0100       30.075226528781
           112.4400     -7.0100       30.096616757493
           112.4500     -7.0100       30.117572967001
           112.4600     -7.0100       30.138050821667
           112.4700     -7.0100       30.158057581081
           112.4800     -7.0100       30.177652872318
           112.4900     -7.0100       30.196943600460
           112.5000     -7.0100       30.216073451265
           112.5100     -7.0100       30.235208094570
           112.5200     -7.0100       30.254517731359
           112.5300     -7.0100       30.274158972856
           112.5400     -7.0100       30.294258150237
           112.5500     -7.0100       30.314898010827
           112.5600     -7.0100       30.336109374920
           112.5700     -7.0100       30.357868750404
           112.5800     -7.0100       30.380102199420
           112.5900     -7.0100       30.402695008004
           112.6000     -7.0100       30.425506017848
           112.6100     -7.0100       30.448384925001
           112.6200     -7.0100       30.471190502968
           112.6300     -7.0100       30.493807610987
           112.6400     -7.0100       30.516161014362
           112.6500     -7.0100       30.538224451657
           112.6600     -7.0100       30.560023981221
           112.6700     -7.0100       30.581635350915
           112.6800     -7.0100       30.603175869183
           112.6900     -7.0100       30.624791919238
           112.7000     -7.0100       30.646643766800
           112.7100     -7.0100       30.668889601523
           112.7200     -7.0100       30.691670787680
           112.7300     -7.0100       30.715100078927
           112.7400     -7.0100       30.739254106787
           112.7500     -7.0100       30.764170844209
           112.7600     -7.0100       30.789852056913
           112.7700     -7.0100       30.816270079431
           112.7800     -7.0100       30.843377681101
           112.7900     -7.0100       30.871119396715
           112.8000     -7.0100       30.899442539458
           112.8100     -7.0100       30.928306210777
           112.8200     -7.0100       30.957686958458
           112.8300     -7.0100       30.987580263335
           112.8400     -7.0100       31.017997682317
           112.8500     -7.0100       31.048960149737
           112.8600     -7.0100       31.080488544706
           112.8700     -7.0100       31.112593081751
           112.8800     -7.0100       31.145263309095
           112.8900     -7.0100       31.178460466751
           112.9000     -7.0100       31.212113664300
           112.9100     -7.0100       31.246120821153
           112.9200     -7.0100       31.280354637976
           112.9300     -7.0100       31.314673127814
           112.9400     -7.0100       31.348933532072
           112.9500     -7.0100       31.383007880334
           112.9600     -7.0100       31.416798108207
           112.9700     -7.0100       31.450248580512
           112.9800     -7.0100       31.483354097916
           112.9900     -7.0100       31.516161973478
           113.0000     -7.0100       31.548767492956
           112.0000     -7.0200       29.328413797871
           112.0100     -7.0200       29.337164343800
           112.0200     -7.0200       29.345054504043
           112.0300     -7.0200       29.352427141936
           112.0400     -7.0200       29.359606931208
           112.0500     -7.0200       29.366887389064
           112.0600     -7.0200       29.374521780415
           112.0700     -7.0200       29.382718162775
           112.0800     -7.0200       29.391638379958
           112.0900     -7.0200       29.401400404487
           112.1000     -7.0200       29.412083121789
           112.1100     -7.0200       29.423732478627
           112.1200     -7.0200       29.436367900428
           112.1300     -7.0200       29.449988013723
           112.1400     -7.0200       29.464574967558
           112.1500     -7.0200       29.480096991627
           112.1600     -7.0200       29.496509207671
           112.1700     -7.0200       29.513753068628
           112.1800     -7.0200       29.531755084333
           112.1900     -7.0200       29.550425660850
