generating_institute     gfz-potsdam
     generating_date     2026/05/23
        product_type     gravity_field
                body     earth
           modelname     egm2008
     max_used_degree          2190
         tide_system     tide_free
          functional     potential_ell
    zero_degree_term     included
                unit     m**2/s**2
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        1.000000E+09
       weighted_mean      6.2530814E+07 m**2/s**2
            maxvalue      6.2531110E+07 m**2/s**2
            minvalue      6.2530576E+07 m**2/s**2
         signal_wrms      1.4616429E+02 m**2/s**2
         grid_format     long_lat_value

          longitude    latitude    potential_ell
            [deg.]      [deg.]         [m**2/s**2]
end_of_head ============================================
           112.0000     -7.0000   6.2530575884475E+07
           112.0100     -7.0000   6.2530575913213E+07
           112.0200     -7.0000   6.2530575932061E+07
           112.0300     -7.0000   6.2530575944636E+07
           112.0400     -7.0000   6.2530575954330E+07
           112.0500     -7.0000   6.2530575964224E+07
           112.0600     -7.0000   6.2530575977031E+07
           112.0700     -7.0000   6.2530575995084E+07
           112.0800     -7.0000   6.2530576020341E+07
           112.0900     -7.0000   6.2530576054419E+07
           112.1000     -7.0000   6.2530576098632E+07
           112.1100     -7.0000   6.2530576154036E+07
           112.1200     -7.0000   6.2530576221456E+07
           112.1300     -7.0000   6.2530576301510E+07
           112.1400     -7.0000   6.2530576394615E+07
           112.1500     -7.0000   6.2530576500979E+07
           112.1600     -7.0000   6.2530576620583E+07
           112.1700     -7.0000   6.2530576753164E+07
           112.1800     -7.0000   6.2530576898205E+07
           112.1900     -7.0000   6.2530577054931E+07
           112.2000     -7.0000   6.2530577222333E+07
           112.2100     -7.0000   6.2530577399209E+07
           112.2200     -7.0000   6.2530577584226E+07
           112.2300     -7.0000   6.2530577776005E+07
           112.2400     -7.0000   6.2530577973213E+07
           112.2500     -7.0000   6.2530578174656E+07
           112.2600     -7.0000   6.2530578379363E+07
           112.2700     -7.0000   6.2530578586647E+07
           112.2800     -7.0000   6.2530578796135E+07
           112.2900     -7.0000   6.2530579007769E+07
           112.3000     -7.0000   6.2530579221755E+07
           112.3100     -7.0000   6.2530579438489E+07
           112.3200     -7.0000   6.2530579658450E+07
           112.3300     -7.0000   6.2530579882080E+07
           112.3400     -7.0000   6.2530580109660E+07
           112.3500     -7.0000   6.2530580341204E+07
           112.3600     -7.0000   6.2530580576384E+07
           112.3700     -7.0000   6.2530580814487E+07
           112.3800     -7.0000   6.2530581054435E+07
           112.3900     -7.0000   6.2530581294840E+07
           112.4000     -7.0000   6.2530581534116E+07
           112.4100     -7.0000   6.2530581770619E+07
           112.4200     -7.0000   6.2530582002809E+07
           112.4300     -7.0000   6.2530582229410E+07
           112.4400     -7.0000   6.2530582449552E+07
           112.4500     -7.0000   6.2530582662875E+07
           112.4600     -7.0000   6.2530582869582E+07
           112.4700     -7.0000   6.2530583070429E+07
           112.4800     -7.0000   6.2530583266657E+07
           112.4900     -7.0000   6.2530583459859E+07
           112.5000     -7.0000   6.2530583651816E+07
           112.5100     -7.0000   6.2530583844297E+07
           112.5200     -7.0000   6.2530584038864E+07
           112.5300     -7.0000   6.2530584236698E+07
           112.5400     -7.0000   6.2530584438463E+07
           112.5500     -7.0000   6.2530584644242E+07
           112.5600     -7.0000   6.2530584853529E+07
           112.5700     -7.0000   6.2530585065308E+07
           112.5800     -7.0000   6.2530585278190E+07
           112.5900     -7.0000   6.2530585490602E+07
           112.6000     -7.0000   6.2530585701013E+07
           112.6100     -7.0000   6.2530585908154E+07
           112.6200     -7.0000   6.2530586111222E+07
           112.6300     -7.0000   6.2530586310038E+07
           112.6400     -7.0000   6.2530586505128E+07
           112.6500     -7.0000   6.2530586697739E+07
           112.6600     -7.0000   6.2530586889759E+07
           112.6700     -7.0000   6.2530587083571E+07
           112.6800     -7.0000   6.2530587281845E+07
           112.6900     -7.0000   6.2530587487292E+07
           112.7000     -7.0000   6.2530587702414E+07
           112.7100     -7.0000   6.2530587929271E+07
           112.7200     -7.0000   6.2530588169300E+07
           112.7300     -7.0000   6.2530588423201E+07
           112.7400     -7.0000   6.2530588690902E+07
           112.7500     -7.0000   6.2530588971619E+07
           112.7600     -7.0000   6.2530589263980E+07
           112.7700     -7.0000   6.2530589566226E+07
           112.7800     -7.0000   6.2530589876433E+07
           112.7900     -7.0000   6.2530590192759E+07
           112.8000     -7.0000   6.2530590513652E+07
           112.8100     -7.0000   6.2530590838026E+07
           112.8200     -7.0000   6.2530591165353E+07
           112.8300     -7.0000   6.2530591495682E+07
           112.8400     -7.0000   6.2530591829572E+07
           112.8500     -7.0000   6.2530592167952E+07
           112.8600     -7.0000   6.2530592511920E+07
           112.8700     -7.0000   6.2530592862520E+07
           112.8800     -7.0000   6.2530593220511E+07
           112.8900     -7.0000   6.2530593586176E+07
           112.9000     -7.0000   6.2530593959181E+07
           112.9100     -7.0000   6.2530594338516E+07
           112.9200     -7.0000   6.2530594722521E+07
           112.9300     -7.0000   6.2530595109002E+07
           112.9400     -7.0000   6.2530595495417E+07
           112.9500     -7.0000   6.2530595879120E+07
           112.9600     -7.0000   6.2530596257624E+07
           112.9700     -7.0000   6.2530596628858E+07
           112.9800     -7.0000   6.2530596991382E+07
           112.9900     -7.0000   6.2530597344533E+07
           113.0000     -7.0000   6.2530597688480E+07
           112.0000     -7.0100   6.2530579930357E+07
           112.0100     -7.0100   6.2530579957111E+07
           112.0200     -7.0100   6.2530579974365E+07
           112.0300     -7.0100   6.2530579985856E+07
           112.0400     -7.0100   6.2530579995075E+07
           112.0500     -7.0100   6.2530580005164E+07
           112.0600     -7.0100   6.2530580018864E+07
           112.0700     -7.0100   6.2530580038499E+07
           112.0800     -7.0100   6.2530580065983E+07
           112.0900     -7.0100   6.2530580102866E+07
           112.1000     -7.0100   6.2530580150373E+07
           112.1100     -7.0100   6.2530580209463E+07
           112.1200     -7.0100   6.2530580280865E+07
           112.1300     -7.0100   6.2530580365109E+07
           112.1400     -7.0100   6.2530580462536E+07
           112.1500     -7.0100   6.2530580573291E+07
           112.1600     -7.0100   6.2530580697307E+07
           112.1700     -7.0100   6.2530580834284E+07
           112.1800     -7.0100   6.2530580983666E+07
           112.1900     -7.0100   6.2530581144639E+07
           112.2000     -7.0100   6.2530581316138E+07
           112.2100     -7.0100   6.2530581496892E+07
           112.2200     -7.0100   6.2530581685475E+07
           112.2300     -7.0100   6.2530581880400E+07
           112.2400     -7.0100   6.2530582080209E+07
           112.2500     -7.0100   6.2530582283580E+07
           112.2600     -7.0100   6.2530582489421E+07
           112.2700     -7.0100   6.2530582696947E+07
           112.2800     -7.0100   6.2530582905727E+07
           112.2900     -7.0100   6.2530583115690E+07
           112.3000     -7.0100   6.2530583327091E+07
           112.3100     -7.0100   6.2530583540440E+07
           112.3200     -7.0100   6.2530583756393E+07
           112.3300     -7.0100   6.2530583975621E+07
           112.3400     -7.0100   6.2530584198678E+07
           112.3500     -7.0100   6.2530584425870E+07
           112.3600     -7.0100   6.2530584657157E+07
           112.3700     -7.0100   6.2530584892090E+07
           112.3800     -7.0100   6.2530585129802E+07
           112.3900     -7.0100   6.2530585369050E+07
           112.4000     -7.0100   6.2530585608306E+07
           112.4100     -7.0100   6.2530585845892E+07
           112.4200     -7.0100   6.2530586080146E+07
           112.4300     -7.0100   6.2530586309590E+07
           112.4400     -7.0100   6.2530586533088E+07
           112.4500     -7.0100   6.2530586749977E+07
           112.4600     -7.0100   6.2530586960144E+07
           112.4700     -7.0100   6.2530587164046E+07
           112.4800     -7.0100   6.2530587362669E+07
           112.4900     -7.0100   6.2530587557416E+07
           112.5000     -7.0100   6.2530587749962E+07
           112.5100     -7.0100   6.2530587942057E+07
           112.5200     -7.0100   6.2530588135339E+07
           112.5300     -7.0100   6.2530588331140E+07
           112.5400     -7.0100   6.2530588530345E+07
           112.5500     -7.0100   6.2530588733292E+07
           112.5600     -7.0100   6.2530588939755E+07
           112.5700     -7.0100   6.2530589148983E+07
           112.5800     -7.0100   6.2530589359819E+07
           112.5900     -7.0100   6.2530589570870E+07
           112.6000     -7.0100   6.2530589780715E+07
           112.6100     -7.0100   6.2530589988124E+07
           112.6200     -7.0100   6.2530590192258E+07
           112.6300     -7.0100   6.2530590392840E+07
           112.6400     -7.0100   6.2530590590247E+07
           112.6500     -7.0100   6.2530590785547E+07
           112.6600     -7.0100   6.2530590980440E+07
           112.6700     -7.0100   6.2530591177131E+07
           112.6800     -7.0100   6.2530591378143E+07
           112.6900     -7.0100   6.2530591586085E+07
           112.7000     -7.0100   6.2530591803407E+07
           112.7100     -7.0100   6.2530592032180E+07
           112.7200     -7.0100   6.2530592273902E+07
           112.7300     -7.0100   6.2530592529378E+07
           112.7400     -7.0100   6.2530592798678E+07
           112.7500     -7.0100   6.2530593081174E+07
           112.7600     -7.0100   6.2530593375649E+07
           112.7700     -7.0100   6.2530593680482E+07
           112.7800     -7.0100   6.2530593993857E+07
           112.7900     -7.0100   6.2530594313991E+07
           112.8000     -7.0100   6.2530594639344E+07
           112.8100     -7.0100   6.2530594968781E+07
           112.8200     -7.0100   6.2530595301674E+07
