generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     potential_ell
    zero_degree_term     included
                unit     m**2/s**2
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        1.000000E+09
       weighted_mean      6.2530815E+07 m**2/s**2
            maxvalue      6.2531109E+07 m**2/s**2
            minvalue      6.2530576E+07 m**2/s**2
         signal_wrms      1.4633694E+02 m**2/s**2
         grid_format     long_lat_value

          longitude    latitude    potential_ell
            [deg.]      [deg.]         [m**2/s**2]
end_of_head ============================================
           112.0000     -7.0000   6.2530575681614E+07
           112.0100     -7.0000   6.2530575768266E+07
           112.0200     -7.0000   6.2530575845762E+07
           112.0300     -7.0000   6.2530575917310E+07
           112.0400     -7.0000   6.2530575986011E+07
           112.0500     -7.0000   6.2530576054732E+07
           112.0600     -7.0000   6.2530576126022E+07
           112.0700     -7.0000   6.2530576202051E+07
           112.0800     -7.0000   6.2530576284582E+07
           112.0900     -7.0000   6.2530576374973E+07
           112.1000     -7.0000   6.2530576474197E+07
           112.1100     -7.0000   6.2530576582879E+07
           112.1200     -7.0000   6.2530576701336E+07
           112.1300     -7.0000   6.2530576829622E+07
           112.1400     -7.0000   6.2530576967569E+07
           112.1500     -7.0000   6.2530577114812E+07
           112.1600     -7.0000   6.2530577270822E+07
           112.1700     -7.0000   6.2530577434918E+07
           112.1800     -7.0000   6.2530577606288E+07
           112.1900     -7.0000   6.2530577784006E+07
           112.2000     -7.0000   6.2530577967057E+07
           112.2100     -7.0000   6.2530578154371E+07
           112.2200     -7.0000   6.2530578344870E+07
           112.2300     -7.0000   6.2530578537516E+07
           112.2400     -7.0000   6.2530578731376E+07
           112.2500     -7.0000   6.2530578925679E+07
           112.2600     -7.0000   6.2530579119872E+07
           112.2700     -7.0000   6.2530579313659E+07
           112.2800     -7.0000   6.2530579507020E+07
           112.2900     -7.0000   6.2530579700203E+07
           112.3000     -7.0000   6.2530579893692E+07
           112.3100     -7.0000   6.2530580088143E+07
           112.3200     -7.0000   6.2530580284296E+07
           112.3300     -7.0000   6.2530580482879E+07
           112.3400     -7.0000   6.2530580684497E+07
           112.3500     -7.0000   6.2530580889539E+07
           112.3600     -7.0000   6.2530581098097E+07
           112.3700     -7.0000   6.2530581309920E+07
           112.3800     -7.0000   6.2530581524401E+07
           112.3900     -7.0000   6.2530581740613E+07
           112.4000     -7.0000   6.2530581957380E+07
           112.4100     -7.0000   6.2530582173382E+07
           112.4200     -7.0000   6.2530582387293E+07
           112.4300     -7.0000   6.2530582597916E+07
           112.4400     -7.0000   6.2530582804320E+07
           112.4500     -7.0000   6.2530583005956E+07
           112.4600     -7.0000   6.2530583202729E+07
           112.4700     -7.0000   6.2530583395032E+07
           112.4800     -7.0000   6.2530583583720E+07
           112.4900     -7.0000   6.2530583770040E+07
           112.5000     -7.0000   6.2530583955512E+07
           112.5100     -7.0000   6.2530584141777E+07
           112.5200     -7.0000   6.2530584330434E+07
           112.5300     -7.0000   6.2530584522872E+07
           112.5400     -7.0000   6.2530584720134E+07
           112.5500     -7.0000   6.2530584922806E+07
           112.5600     -7.0000   6.2530585130969E+07
           112.5700     -7.0000   6.2530585344198E+07
           112.5800     -7.0000   6.2530585561626E+07
           112.5900     -7.0000   6.2530585782048E+07
           112.6000     -7.0000   6.2530586004075E+07
           112.6100     -7.0000   6.2530586226297E+07
           112.6200     -7.0000   6.2530586447457E+07
           112.6300     -7.0000   6.2530586666593E+07
           112.6400     -7.0000   6.2530586883161E+07
           112.6500     -7.0000   6.2530587097094E+07
           112.6600     -7.0000   6.2530587308813E+07
           112.6700     -7.0000   6.2530587519187E+07
           112.6800     -7.0000   6.2530587729434E+07
           112.6900     -7.0000   6.2530587940995E+07
           112.7000     -7.0000   6.2530588155383E+07
           112.7100     -7.0000   6.2530588374039E+07
           112.7200     -7.0000   6.2530588598199E+07
           112.7300     -7.0000   6.2530588828795E+07
           112.7400     -7.0000   6.2530589066406E+07
           112.7500     -7.0000   6.2530589311250E+07
           112.7600     -7.0000   6.2530589563226E+07
           112.7700     -7.0000   6.2530589821993E+07
           112.7800     -7.0000   6.2530590087074E+07
           112.7900     -7.0000   6.2530590357967E+07
           112.8000     -7.0000   6.2530590634249E+07
           112.8100     -7.0000   6.2530590915652E+07
           112.8200     -7.0000   6.2530591202101E+07
           112.8300     -7.0000   6.2530591493718E+07
           112.8400     -7.0000   6.2530591790772E+07
           112.8500     -7.0000   6.2530592093600E+07
           112.8600     -7.0000   6.2530592402502E+07
           112.8700     -7.0000   6.2530592717629E+07
           112.8800     -7.0000   6.2530593038883E+07
           112.8900     -7.0000   6.2530593365845E+07
           112.9000     -7.0000   6.2530593697740E+07
           112.9100     -7.0000   6.2530594033460E+07
           112.9200     -7.0000   6.2530594371631E+07
           112.9300     -7.0000   6.2530594710727E+07
           112.9400     -7.0000   6.2530595049223E+07
           112.9500     -7.0000   6.2530595385747E+07
           112.9600     -7.0000   6.2530595719245E+07
           112.9700     -7.0000   6.2530596049100E+07
           112.9800     -7.0000   6.2530596375217E+07
           112.9900     -7.0000   6.2530596698038E+07
           113.0000     -7.0000   6.2530597018499E+07
           112.0000     -7.0100   6.2530579836778E+07
           112.0100     -7.0100   6.2530579922397E+07
           112.0200     -7.0100   6.2530579999028E+07
           112.0300     -7.0100   6.2530580069967E+07
           112.0400     -7.0100   6.2530580138369E+07
           112.0500     -7.0100   6.2530580207126E+07
           112.0600     -7.0100   6.2530580278777E+07
           112.0700     -7.0100   6.2530580355454E+07
           112.0800     -7.0100   6.2530580438861E+07
           112.0900     -7.0100   6.2530580530288E+07
           112.1000     -7.0100   6.2530580630642E+07
           112.1100     -7.0100   6.2530580740492E+07
           112.1200     -7.0100   6.2530580860124E+07
           112.1300     -7.0100   6.2530580989589E+07
           112.1400     -7.0100   6.2530581128737E+07
           112.1500     -7.0100   6.2530581277251E+07
           112.1600     -7.0100   6.2530581434658E+07
           112.1700     -7.0100   6.2530581600336E+07
           112.1800     -7.0100   6.2530581773517E+07
           112.1900     -7.0100   6.2530581953293E+07
           112.2000     -7.0100   6.2530582138623E+07
           112.2100     -7.0100   6.2530582328364E+07
           112.2200     -7.0100   6.2530582521310E+07
           112.2300     -7.0100   6.2530582716253E+07
           112.2400     -7.0100   6.2530582912048E+07
           112.2500     -7.0100   6.2530583107696E+07
           112.2600     -7.0100   6.2530583302418E+07
           112.2700     -7.0100   6.2530583495717E+07
           112.2800     -7.0100   6.2530583687424E+07
           112.2900     -7.0100   6.2530583877710E+07
           112.3000     -7.0100   6.2530584067068E+07
           112.3100     -7.0100   6.2530584256257E+07
           112.3200     -7.0100   6.2530584446218E+07
           112.3300     -7.0100   6.2530584637955E+07
           112.3400     -7.0100   6.2530584832420E+07
           112.3500     -7.0100   6.2530585030380E+07
           112.3600     -7.0100   6.2530585232313E+07
           112.3700     -7.0100   6.2530585438323E+07
           112.3800     -7.0100   6.2530585648105E+07
           112.3900     -7.0100   6.2530585860945E+07
           112.4000     -7.0100   6.2530586075778E+07
           112.4100     -7.0100   6.2530586291287E+07
           112.4200     -7.0100   6.2530586506037E+07
           112.4300     -7.0100   6.2530586718626E+07
           112.4400     -7.0100   6.2530586927846E+07
           112.4500     -7.0100   6.2530587132821E+07
           112.4600     -7.0100   6.2530587333116E+07
           112.4700     -7.0100   6.2530587528804E+07
           112.4800     -7.0100   6.2530587720468E+07
           112.4900     -7.0100   6.2530587909152E+07
           112.5000     -7.0100   6.2530588096263E+07
           112.5100     -7.0100   6.2530588283421E+07
           112.5200     -7.0100   6.2530588472290E+07
           112.5300     -7.0100   6.2530588664403E+07
           112.5400     -7.0100   6.2530588860995E+07
           112.5500     -7.0100   6.2530589062875E+07
           112.5600     -7.0100   6.2530589270346E+07
           112.5700     -7.0100   6.2530589483176E+07
           112.5800     -7.0100   6.2530589700644E+07
           112.5900     -7.0100   6.2530589921626E+07
           112.6000     -7.0100   6.2530590144743E+07
           112.6100     -7.0100   6.2530590368524E+07
           112.6200     -7.0100   6.2530590591587E+07
           112.6300     -7.0100   6.2530590812807E+07
           112.6400     -7.0100   6.2530591031448E+07
           112.6500     -7.0100   6.2530591247252E+07
           112.6600     -7.0100   6.2530591460476E+07
           112.6700     -7.0100   6.2530591671859E+07
           112.6800     -7.0100   6.2530591882548E+07
           112.6900     -7.0100   6.2530592093977E+07
           112.7000     -7.0100   6.2530592307712E+07
           112.7100     -7.0100   6.2530592525301E+07
           112.7200     -7.0100   6.2530592748126E+07
           112.7300     -7.0100   6.2530592977290E+07
           112.7400     -7.0100   6.2530593213542E+07
           112.7500     -7.0100   6.2530593457255E+07
           112.7600     -7.0100   6.2530593708446E+07
           112.7700     -7.0100   6.2530593966843E+07
           112.7800     -7.0100   6.2530594231985E+07
           112.7900     -7.0100   6.2530594503329E+07
           112.8000     -7.0100   6.2530594780361E+07
           112.8100     -7.0100   6.2530595062679E+07
