generating_institute     gfz-potsdam
     generating_date     2026/05/23
        product_type     gravity_field
                body     earth
           modelname     egm2008
     max_used_degree          2190
         tide_system     tide_free
          functional     second_r_derivative
    zero_degree_term     included
                unit     Eotvos
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      1.2828961E+00 Eotvos
            maxvalue      4.1477403E+02 Eotvos
            minvalue     -1.4542405E+02 Eotvos
         signal_wrms      7.5986599E+01 Eotvos
         grid_format     long_lat_value

          longitude    latitude    second_r_derivative
            [deg.]      [deg.]         [Eotvos]
end_of_head ============================================
           112.0000     -7.0000       40.730738537660
           112.0100     -7.0000       36.183303574929
           112.0200     -7.0000       31.378586531225
           112.0300     -7.0000       26.458357154454
           112.0400     -7.0000       21.541475596600
           112.0500     -7.0000       16.721727789719
           112.0600     -7.0000       12.069033209142
           112.0700     -7.0000        7.633409367256
           112.0800     -7.0000        3.450749685575
           112.0900     -7.0000       -0.450719128435
           112.1000     -7.0000       -4.044464481548
           112.1100     -7.0000       -7.301192575017
           112.1200     -7.0000      -10.186668068210
           112.1300     -7.0000      -12.662186675012
           112.1400     -7.0000      -14.687646112682
           112.1500     -7.0000      -16.226735129730
           112.1600     -7.0000      -17.253400794878
           112.1700     -7.0000      -17.758512013638
           112.1800     -7.0000      -17.755548496299
           112.1900     -7.0000      -17.284225154526
           112.2000     -7.0000      -16.411205503748
           112.2100     -7.0000      -15.227435132396
           112.2200     -7.0000      -13.842089692634
           112.2300     -7.0000      -12.373620065858
           112.2400     -7.0000      -10.938823896776
           112.2500     -7.0000       -9.641214436009
           112.2600     -7.0000       -8.560143286818
           112.2700     -7.0000       -7.742130959275
           112.2800     -7.0000       -7.195659811268
           112.2900     -7.0000       -6.890305620190
           112.3000     -7.0000       -6.760568812496
           112.3100     -7.0000       -6.714176258996
           112.3200     -7.0000       -6.644033939558
           112.3300     -7.0000       -6.442497250405
           112.3400     -7.0000       -6.016259947856
           112.3500     -7.0000       -5.299999004898
           112.3600     -7.0000       -4.266981260089
           112.3700     -7.0000       -2.935140030012
           112.3800     -7.0000       -1.367637046577
           112.3900     -7.0000        0.332419190001
           112.4000     -7.0000        2.032700976148
           112.4100     -7.0000        3.586729623497
           112.4200     -7.0000        4.851581319930
           112.4300     -7.0000        5.706120051734
           112.4400     -7.0000        6.067488748277
           112.4500     -7.0000        5.903710525114
           112.4600     -7.0000        5.240646970515
           112.4700     -7.0000        4.162190363490
           112.4800     -7.0000        2.803361024188
           112.4900     -7.0000        1.336846050402
           112.5000     -7.0000       -0.045654174385
           112.5100     -7.0000       -1.155214847449
           112.5200     -7.0000       -1.828093915767
           112.5300     -7.0000       -1.946075110276
           112.5400     -7.0000       -1.452223619368
           112.5500     -7.0000       -0.360005065836
           112.5600     -7.0000        1.245542372054
           112.5700     -7.0000        3.214972177222
           112.5800     -7.0000        5.349325955782
           112.5900     -7.0000        7.421212063753
           112.6000     -7.0000        9.199735512199
           112.6100     -7.0000       10.476432590680
           112.6200     -7.0000       11.089182508654
           112.6300     -7.0000       10.941251239072
           112.6400     -7.0000       10.013154675291
           112.6500     -7.0000        8.365850640059
           112.6600     -7.0000        6.134786521785
           112.6700     -7.0000        3.515419706298
           112.6800     -7.0000        0.741858603621
           112.6900     -7.0000       -1.938884874308
           112.7000     -7.0000       -4.293991690050
           112.7100     -7.0000       -6.130058381040
           112.7200     -7.0000       -7.313434086159
           112.7300     -7.0000       -7.783242598015
           112.7400     -7.0000       -7.555547119798
           112.7500     -7.0000       -6.718199891330
           112.7600     -7.0000       -5.417067984348
           112.7700     -7.0000       -3.835397702583
           112.7800     -7.0000       -2.168938499037
           112.7900     -7.0000       -0.599983507107
           112.8000     -7.0000        0.726372795607
           112.8100     -7.0000        1.720730520418
           112.8200     -7.0000        2.360260489434
           112.8300     -7.0000        2.690548707033
           112.8400     -7.0000        2.818146189573
           112.8500     -7.0000        2.894753797122
           112.8600     -7.0000        3.095057399883
           112.8700     -7.0000        3.591068455310
           112.8800     -7.0000        4.526309351337
           112.8900     -7.0000        5.993245886806
           112.9000     -7.0000        8.016997826750
           112.9100     -7.0000       10.547594349629
           112.9200     -7.0000       13.461976512824
           112.9300     -7.0000       16.575715034781
           112.9400     -7.0000       19.663163314662
           112.9500     -7.0000       22.483661126807
           112.9600     -7.0000       24.810586103166
           112.9700     -7.0000       26.459625815537
           112.9800     -7.0000       27.312672347016
           112.9900     -7.0000       27.334226439286
           113.0000     -7.0000       26.578084678098
           112.0000     -7.0100       37.304427274767
           112.0100     -7.0100       32.515442581013
           112.0200     -7.0100       27.514756275294
           112.0300     -7.0100       22.455012573339
           112.0400     -7.0100       17.462497672731
           112.0500     -7.0100       12.634514204261
           112.0600     -7.0100        8.040503854890
           112.0700     -7.0100        3.726317212695
           112.0800     -7.0100       -0.279345520912
           112.0900     -7.0100       -3.957535531032
           112.1000     -7.0100       -7.291978441163
           112.1100     -7.0100      -10.263491504046
           112.1200     -7.0100      -12.846798101106
           112.1300     -7.0100      -15.010249634931
           112.1400     -7.0100      -16.718500799609
           112.1500     -7.0100      -17.937712194035
           112.1600     -7.0100      -18.642439228161
           112.1700     -7.0100      -18.823066509207
           112.1800     -7.0100      -18.492506159369
           112.1900     -7.0100      -17.690920033652
           112.2000     -7.0100      -16.487448730235
           112.2100     -7.0100      -14.978309245811
           112.2200     -7.0100      -13.281110980517
           112.2300     -7.0100      -11.525773299264
           112.2400     -7.0100       -9.842935611673
           112.2500     -7.0100       -8.351162613612
           112.2600     -7.0100       -7.144503038585
           112.2700     -7.0100       -6.282018769881
           112.2800     -7.0100       -5.780745972981
           112.2900     -7.0100       -5.613192256750
           112.3000     -7.0100       -5.709952189208
           112.3100     -7.0100       -5.967399285149
           112.3200     -7.0100       -6.259763182132
           112.3300     -7.0100       -6.454309733071
           112.3400     -7.0100       -6.427888370340
           112.3500     -7.0100       -6.082859681873
           112.3600     -7.0100       -5.360407307333
           112.3700     -7.0100       -4.249482834007
           112.3800     -7.0100       -2.790108945582
           112.3900     -7.0100       -1.070422688392
           112.4000     -7.0100        0.782399504736
           112.4100     -7.0100        2.616423197423
           112.4200     -7.0100        4.272848540323
           112.4300     -7.0100        5.605411807592
           112.4400     -7.0100        6.498932868599
           112.4500     -7.0100        6.884672174582
           112.4600     -7.0100        6.750480696504
           112.4700     -7.0100        6.144308392270
           112.4800     -7.0100        5.170416169697
           112.4900     -7.0100        3.978521110734
           112.5000     -7.0100        2.746987183108
           112.5100     -7.0100        1.661943316666
           112.5200     -7.0100        0.894768267384
           112.5300     -7.0100        0.580651846552
           112.5400     -7.0100        0.800883699577
           112.5500     -7.0100        1.571132895261
           112.5600     -7.0100        2.837304422765
           112.5700     -7.0100        4.479669756175
           112.5800     -7.0100        6.324973675593
           112.5900     -7.0100        8.165239865440
           112.6000     -7.0100        9.781155444599
           112.6100     -7.0100       10.967316846647
           112.6200     -7.0100       11.556345214022
           112.6300     -7.0100       11.438968591896
           112.6400     -7.0100       10.577615877818
           112.6500     -7.0100        9.011823927707
           112.6600     -7.0100        6.854735181263
           112.6700     -7.0100        4.281040455423
           112.6800     -7.0100        1.507767445084
           112.6900     -7.0100       -1.229800797857
           112.7000     -7.0100       -3.704183838185
           112.7100     -7.0100       -5.720589191736
           112.7200     -7.0100       -7.137610068870
           112.7300     -7.0100       -7.881231650046
           112.7400     -7.0100       -7.950469598456
           112.7500     -7.0100       -7.414007468313
           112.7600     -7.0100       -6.398328418785
           112.7700     -7.0100       -5.068909237189
           112.7800     -7.0100       -3.606924646830
           112.7900     -7.0100       -2.184483671255
           112.8000     -7.0100       -0.941611558104
           112.8100     -7.0100        0.032027641763
           112.8200     -7.0100        0.708277350410
           112.8300     -7.0100        1.123030342936
           112.8400     -7.0100        1.369808409977
           112.8500     -7.0100        1.585194388406
           112.8600     -7.0100        1.928010256988
           112.8700     -7.0100        2.554980588821
           112.8800     -7.0100        3.596120663129
           112.8900     -7.0100        5.133173783572
           112.9000     -7.0100        7.184075995034
           112.9100     -7.0100        9.695686833467
           112.9200     -7.0100       12.545981473707
           112.9300     -7.0100       15.555682500563
           112.9400     -7.0100       18.508072658401
           112.9500     -7.0100       21.174632382676
           112.9600     -7.0100       23.343331345810
           112.9700     -7.0100       24.845981327862
           112.9800     -7.0100       25.581089581092
           112.9900     -7.0100       25.529141566259
           113.0000     -7.0100       24.758135112930
           112.0000     -7.0200       31.846700748384
           112.0100     -7.0200       26.891661436345
           112.0200     -7.0200       21.802404309965
           112.0300     -7.0200       16.740017619081
           112.0400     -7.0200       11.835044638661
           112.0500     -7.0200        7.184402494972
           112.0600     -7.0200        2.852446753772
           112.0700     -7.0200       -1.124391048330
           112.0800     -7.0200       -4.730390950264
           112.0900     -7.0200       -7.962041510198
           112.1000     -7.0200      -10.819641799356
           112.1100     -7.0200      -13.300326718475
           112.1200     -7.0200      -15.393578421766
           112.1300     -7.0200      -17.079886946119
