generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     gravitation_ell  (centrifugal term not included)
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue        9999999.0000
       weighted_mean      9.8150402E+05 mgal
            maxvalue      9.8184981E+05 mgal
            minvalue      9.8142034E+05 mgal
         signal_wrms      8.0980190E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravitation_ell
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000   981515.063623424619
           112.0100     -7.0000   981513.093430290464
           112.0200     -7.0000   981510.958187345415
           112.0300     -7.0000   981508.723612430273
           112.0400     -7.0000   981506.451693647192
           112.0500     -7.0000   981504.198096743086
           112.0600     -7.0000   981502.010440383572
           112.0700     -7.0000   981499.927464856533
           112.0800     -7.0000   981497.979017700534
           112.0900     -7.0000   981496.186695085256
           112.1000     -7.0000   981494.564920366160
           112.1100     -7.0000   981493.122217273689
           112.1200     -7.0000   981491.862446341664
           112.1300     -7.0000   981490.785816422896
           112.1400     -7.0000   981489.889551176690
           112.1500     -7.0000   981489.168172615580
           112.1600     -7.0000   981488.613447662094
           112.1700     -7.0000   981488.214116501855
           112.1800     -7.0000   981487.955572168692
           112.1900     -7.0000   981487.819681329885
           112.2000     -7.0000   981487.784922903636
           112.2100     -7.0000   981487.826975263306
           112.2200     -7.0000   981487.919810401392
           112.2300     -7.0000   981488.037264866289
           112.2400     -7.0000   981488.154965508729
           112.2500     -7.0000   981488.252407252090
           112.2600     -7.0000   981488.314923329279
           112.2700     -7.0000   981488.335266056238
           112.2800     -7.0000   981488.314534122939
           112.2900     -7.0000   981488.262240979238
           112.3000     -7.0000   981488.195412842557
           112.3100     -7.0000   981488.136723415693
           112.3200     -7.0000   981488.111800839077
           112.3300     -7.0000   981488.145963584189
           112.3400     -7.0000   981488.260738884448
           112.3500     -7.0000   981488.470575046376
           112.3600     -7.0000   981488.780167238903
           112.3700     -7.0000   981489.182770793210
           112.3800     -7.0000   981489.659779263544
           112.3900     -7.0000   981490.181706054835
           112.4000     -7.0000   981490.710543815396
           112.4100     -7.0000   981491.203304790310
           112.4200     -7.0000   981491.616389433155
           112.4300     -7.0000   981491.910310433246
           112.4400     -7.0000   981492.054231812363
           112.4500     -7.0000   981492.029778839555
           112.4600     -7.0000   981491.833637414733
           112.4700     -7.0000   981491.478586160461
           112.4800     -7.0000   981490.992777569336
           112.4900     -7.0000   981490.417286385549
           112.5000     -7.0000   981489.802149911295
           112.5100     -7.0000   981489.201310619246
           112.5200     -7.0000   981488.667012783699
           112.5300     -7.0000   981488.244283086970
           112.5400     -7.0000   981487.966129056294
           112.5500     -7.0000   981487.850016556564
           112.5600     -7.0000   981487.896045691450
           112.5700     -7.0000   981488.087049594731
           112.5800     -7.0000   981488.390615827870
           112.5900     -7.0000   981488.762802775251
           112.6000     -7.0000   981489.153121626470
           112.6100     -7.0000   981489.510203512385
           112.6200     -7.0000   981489.787490354152
           112.6300     -7.0000   981489.948287560488
           112.6400     -7.0000   981489.969597431482
           112.6500     -7.0000   981489.844304213068
           112.6600     -7.0000   981489.581486347481
           112.6700     -7.0000   981489.204862882965
           112.6800     -7.0000   981488.749609979335
           112.6900     -7.0000   981488.257980896044
           112.7000     -7.0000   981487.774303640123
           112.7100     -7.0000   981487.339996627532
           112.7200     -7.0000   981486.989225992933
           112.7300     -7.0000   981486.745731015690
           112.7400     -7.0000   981486.621179474518
           112.7500     -7.0000   981486.615204488044
           112.7600     -7.0000   981486.717046465026
           112.7700     -7.0000   981486.908508523833
           112.7800     -7.0000   981487.167759915697
           112.7900     -7.0000   981487.473412954481
           112.8000     -7.0000   981487.808269432629
           112.8100     -7.0000   981488.162186698988
           112.8200     -7.0000   981488.533644258277
           112.8300     -7.0000   981488.929781461484
           112.8400     -7.0000   981489.364899784210
           112.8500     -7.0000   981489.857648832723
           112.8600     -7.0000   981490.427312338143
           112.8700     -7.0000   981491.089751172811
           112.8800     -7.0000   981491.853624400799
           112.8900     -7.0000   981492.717486253008
           112.9000     -7.0000   981493.668248141534
           112.9100     -7.0000   981494.681313626701
           112.9200     -7.0000   981495.722464033635
           112.9300     -7.0000   981496.751323819393
           112.9400     -7.0000   981497.726001668605
           112.9500     -7.0000   981498.608318219776
           112.9600     -7.0000   981499.368921178044
           112.9700     -7.0000   981499.991570716957
           112.9800     -7.0000   981500.475957951974
           112.9900     -7.0000   981500.838589206338
           113.0000     -7.0000   981501.111508848844
           112.0000     -7.0100   981514.106984846527
           112.0100     -7.0100   981512.108486788813
           112.0200     -7.0100   981509.954303206177
           112.0300     -7.0100   981507.712298990460
           112.0400     -7.0100   981505.445542917820
           112.0500     -7.0100   981503.209645362920
           112.0600     -7.0100   981501.051107121515
           112.0700     -7.0100   981499.006699329475
           112.0800     -7.0100   981497.103773446288
           112.0900     -7.0100   981495.361298986943
           112.1000     -7.0100   981493.791357414331
           112.1100     -7.0100   981492.400791402091
           112.1200     -7.0100   981491.192722255713
           112.1300     -7.0100   981490.167701681494
           112.1400     -7.0100   981489.324349033879
           112.1500     -7.0100   981488.659429090563
           112.1600     -7.0100   981488.167433131253
           112.1700     -7.0100   981487.839821892674
           112.1800     -7.0100   981487.664158622734
           112.1900     -7.0100   981487.623393291258
           112.2000     -7.0100   981487.695549440919
           112.2100     -7.0100   981487.854013500386
           112.2200     -7.0100   981488.068539052852
           112.2300     -7.0100   981488.306967249024
           112.2400     -7.0100   981488.537544841180
           112.2500     -7.0100   981488.731610544142
           112.2600     -7.0100   981488.866335390485
           112.2700     -7.0100   981488.927157324506
           112.2800     -7.0100   981488.909553401056
           112.2900     -7.0100   981488.819847160019
           112.3000     -7.0100   981488.674849624280
           112.3100     -7.0100   981488.500268762116
           112.3200     -7.0100   981488.327977683628
           112.3300     -7.0100   981488.192386281909
           112.3400     -7.0100   981488.126293709618
           112.3500     -7.0100   981488.156691051088
           112.3600     -7.0100   981488.301020446350
           112.3700     -7.0100   981488.564370914828
           112.3800     -7.0100   981488.938002474373
           112.3900     -7.0100   981489.399447138538
           112.4000     -7.0100   981489.914253930212
           112.4100     -7.0100   981490.439246606547
           112.4200     -7.0100   981490.926971928915
           112.4300     -7.0100   981491.330857502064
           112.4400     -7.0100   981491.610492778593
           112.4500     -7.0100   981491.736409956589
           112.4600     -7.0100   981491.693780184491
           112.4700     -7.0100   981491.484552326379
           112.4800     -7.0100   981491.127734778216
           112.4900     -7.0100   981490.657735620742
           112.5000     -7.0100   981490.120907128323
           112.5100     -7.0100   981489.570659043733
           112.5200     -7.0100   981489.061683725915
           112.5300     -7.0100   981488.643952281098
           112.5400     -7.0100   981488.357178557664
           112.5500     -7.0100   981488.226401421940
           112.5600     -7.0100   981488.259209498763
           112.5700     -7.0100   981488.444941158639
           112.5800     -7.0100   981488.755958905444
           112.5900     -7.0100   981489.150850066100
           112.6000     -7.0100   981489.579175384832
           112.6100     -7.0100   981489.987202489516
           112.6200     -7.0100   981490.323945472366
           112.6300     -7.0100   981490.546799580567
           112.6400     -7.0100   981490.626115418505
           112.6500     -7.0100   981490.548193113646
           112.6600     -7.0100   981490.316376331379
           112.6700     -7.0100   981489.950163460337
           112.6800     -7.0100   981489.482498468598
           112.6900     -7.0100   981488.955625576084
           112.7000     -7.0100   981488.416061821277
           112.7100     -7.0100   981487.909338353900
           112.7200     -7.0100   981487.475172919454
           112.7300     -7.0100   981487.143661775510
           112.7400     -7.0100   981486.932929640636
           112.7500     -7.0100   981486.848471623613
           112.7600     -7.0100   981486.884189024568
           112.7700     -7.0100   981487.024892626680
           112.7800     -7.0100   981487.249853224261
           112.7900     -7.0100   981487.536845647846
           112.8000     -7.0100   981487.866077203769
           112.8100     -7.0100   981488.223421515431
           112.8200     -7.0100   981488.602489801589
           112.8300     -7.0100   981489.005248224828
           112.8400     -7.0100   981489.441107555525
           112.8500     -7.0100   981489.924639734789
           112.8600     -7.0100   981490.472282997565
           112.8700     -7.0100   981491.098553657765
           112.8800     -7.0100   981491.812365814345
           112.8900     -7.0100   981492.614057312254
           112.9000     -7.0100   981493.493630287820
           112.9100     -7.0100   981494.430548572214
           112.9200     -7.0100   981495.395213999669
           112.9300     -7.0100   981496.351999019505
           112.9400     -7.0100   981497.263477830216
           112.9500     -7.0100   981498.095305776224
           112.9600     -7.0100   981498.821075297077
           112.9700     -7.0100   981499.426445385092
           112.9800     -7.0100   981499.911907706875
           112.9900     -7.0100   981500.293710381258
           113.0000     -7.0100   981500.602691476233
           112.0000     -7.0200   981512.297681533848
           112.0100     -7.0200   981510.283345939824
           112.0200     -7.0200   981508.134321423015
           112.0300     -7.0200   981505.920182823553
           112.0400     -7.0200   981503.704378061346
           112.0500     -7.0200   981501.541492710356
           112.0600     -7.0200   981499.475675226888
           112.0700     -7.0200   981497.540241308976
           112.0800     -7.0200   981495.758335491060
           112.0900     -7.0200   981494.144409026252
