generating_institute     gfz-potsdam
     generating_date     2026/07/13
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     gravity_disturbance_sa
    zero_degree_term     included
                unit     mgal
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      4.9395731E+01 mgal
            maxvalue      3.9160428E+02 mgal
            minvalue     -3.4968725E+01 mgal
         signal_wrms      7.9724132E+01 mgal
         grid_format     long_lat_value

          longitude    latitude    gravity_disturbance_sa
            [deg.]      [deg.]         [mgal]
end_of_head ============================================
           112.0000     -7.0000       64.378367419417
           112.0100     -7.0000       62.408123836007
           112.0200     -7.0000       60.272825793978
           112.0300     -7.0000       58.038195633190
           112.0400     -7.0000       55.766224820147
           112.0500     -7.0000       53.512581165804
           112.0600     -7.0000       51.324884127883
           112.0700     -7.0000       49.241873720505
           112.0800     -7.0000       47.293396482643
           112.0900     -7.0000       45.501047276854
           112.1000     -7.0000       43.879248280899
           112.1100     -7.0000       42.436522567670
           112.1200     -7.0000       41.176730821152
           112.1300     -7.0000       40.100082992015
           112.1400     -7.0000       39.203804748408
           112.1500     -7.0000       38.482420803025
           112.1600     -7.0000       37.927701085486
           112.1700     -7.0000       37.528388581670
           112.1800     -7.0000       37.269878347141
           112.1900     -7.0000       37.134037728268
           112.2000     -7.0000       37.099344514477
           112.2100     -7.0000       37.141473844510
           112.2200     -7.0000       37.234392311539
           112.2300     -7.0000       37.351929103913
           112.2400     -7.0000       37.469702231127
           112.2500     -7.0000       37.567197011179
           112.2600     -7.0000       37.629737198061
           112.2700     -7.0000       37.650066729953
           112.2800     -7.0000       37.629277970175
           112.2900     -7.0000       37.576880916863
           112.3000     -7.0000       37.509901805049
           112.3100     -7.0000       37.451018122421
           112.3200     -7.0000       37.425865507773
           112.3300     -7.0000       37.459773232665
           112.3400     -7.0000       37.574281878089
           112.3500     -7.0000       37.783854605035
           112.3600     -7.0000       38.093201703587
           112.3700     -7.0000       38.495592564612
           112.3800     -7.0000       38.972432460037
           112.3900     -7.0000       39.494243074015
           112.4000     -7.0000       40.023021117427
           112.4100     -7.0000       40.515778316371
           112.4200     -7.0000       40.928910133690
           112.4300     -7.0000       41.222920369157
           112.4400     -7.0000       41.366961231608
           112.4500     -7.0000       41.342644510368
           112.4600     -7.0000       41.146642345972
           112.4700     -7.0000       40.791720678113
           112.4800     -7.0000       40.306021567870
           112.4900     -7.0000       39.730612465762
           112.5000     -7.0000       39.115527036027
           112.5100     -7.0000       38.514707897780
           112.5200     -7.0000       37.980403002351
           112.5300     -7.0000       37.557645642093
           112.5400     -7.0000       37.279452016864
           112.5500     -7.0000       37.163297660140
           112.5600     -7.0000       37.209292190225
           112.5700     -7.0000       37.400276983063
           112.5800     -7.0000       37.703845607988
           112.5900     -7.0000       38.076059535939
           112.6000     -7.0000       38.466429794335
           112.6100     -7.0000       38.823584181621
           112.6200     -7.0000       39.100958582790
           112.6300     -7.0000       39.261850456965
           112.6400     -7.0000       39.283253236184
           112.6500     -7.0000       39.158042445849
           112.6600     -7.0000       38.895288956717
           112.6700     -7.0000       38.518706214417
           112.6800     -7.0000       38.063467303294
           112.6900     -7.0000       37.571825192922
           112.7000     -7.0000       37.088110331724
           112.7100     -7.0000       36.653745966203
           112.7200     -7.0000       36.302904865781
           112.7300     -7.0000       36.059333979909
           112.7400     -7.0000       35.934708922701
           112.7500     -7.0000       35.928669934736
           112.7600     -7.0000       36.030463041299
           112.7700     -7.0000       36.221894859860
           112.7800     -7.0000       36.481135668004
           112.7900     -7.0000       36.786796267769
           112.8000     -7.0000       37.121674638330
           112.8100     -7.0000       37.475622501231
           112.8200     -7.0000       37.847112601368
           112.8300     -7.0000       38.243277176769
           112.8400     -7.0000       38.678411019526
           112.8500     -7.0000       39.171158188165
           112.8600     -7.0000       39.740798552712
           112.8700     -7.0000       40.403191156096
           112.8800     -7.0000       41.166995375709
           112.8900     -7.0000       42.030767768999
           112.9000     -7.0000       42.981423741858
           112.9100     -7.0000       43.994372005141
           112.9200     -7.0000       45.035399590741
           112.9300     -7.0000       46.064136612762
           112.9400     -7.0000       47.038696834576
           112.9500     -7.0000       47.920905011324
           112.9600     -7.0000       48.681411787341
           112.9700     -7.0000       49.303979054542
           112.9800     -7.0000       49.788298518498
           112.9900     -7.0000       50.150876146160
           113.0000     -7.0000       50.423755227257
           112.0000     -7.0100       63.344605416951
           112.0100     -7.0100       61.346094679625
           112.0200     -7.0100       59.191910223452
           112.0300     -7.0100       56.949920348875
           112.0400     -7.0100       54.683195730995
           112.0500     -7.0100       52.447347001678
           112.0600     -7.0100       50.288873645747
           112.0700     -7.0100       48.244544178196
           112.0800     -7.0100       46.341706530629
           112.0900     -7.0100       44.599326273286
           112.1000     -7.0100       43.029481025182
           112.1100     -7.0100       41.639010196759
           112.1200     -7.0100       40.431032793168
           112.1300     -7.0100       39.406099420479
           112.1400     -7.0100       38.562829590098
           112.1500     -7.0100       37.897989354559
           112.1600     -7.0100       37.406072062650
           112.1700     -7.0100       37.078540837619
           112.1800     -7.0100       36.902961055638
           112.1900     -7.0100       36.862283957366
           112.2000     -7.0100       36.934532954504
           112.2100     -7.0100       37.093092538938
           112.2200     -7.0100       37.307712356706
           112.2300     -7.0100       37.546227685784
           112.2400     -7.0100       37.776877813015
           112.2500     -7.0100       37.970992998573
           112.2600     -7.0100       38.105735643272
           112.2700     -7.0100       38.166535820227
           112.2800     -7.0100       38.148864430865
           112.2900     -7.0100       38.059041449689
           112.3000     -7.0100       37.913877594246
           112.3100     -7.0100       37.739084185847
           112.3200     -7.0100       37.566541406095
           112.3300     -7.0100       37.430669640716
           112.3400     -7.0100       37.364281309828
           112.3500     -7.0100       37.394382593009
           112.3600     -7.0100       37.538431369449
           112.3700     -7.0100       37.801531738197
           112.3800     -7.0100       38.174956822815
           112.3900     -7.0100       38.636248587779
           112.4000     -7.0100       39.150961934904
           112.4100     -7.0100       39.675921893679
           112.4200     -7.0100       40.163671810584
           112.4300     -7.0100       40.567631589333
           112.4400     -7.0100       40.847379534212
           112.4500     -7.0100       40.973434425058
           112.4600     -7.0100       40.930953095597
           112.4700     -7.0100       40.721870602728
           112.4800     -7.0100       40.365183319262
           112.4900     -7.0100       39.895290106308
           112.5000     -7.0100       39.358537495134
           112.5100     -7.0100       38.808333252037
           112.5200     -7.0100       38.299371430100
           112.5300     -7.0100       37.881628051270
           112.5400     -7.0100       37.594824358684
           112.5500     -7.0100       37.464008129956
           112.5600     -7.0100       37.496777331317
           112.5700     -7.0100       37.682478997690
           112.5800     -7.0100       37.993482616122
           112.5900     -7.0100       38.388380031345
           112.6000     -7.0100       38.816733567456
           112.6100     -7.0100       39.224809402712
           112.6200     -7.0100       39.561617440758
           112.6300     -7.0100       39.784546630750
           112.6400     -7.0100       39.863940039611
           112.6500     -7.0100       39.786089999097
           112.6600     -7.0100       39.554333079291
           112.6700     -7.0100       39.188162092800
           112.6800     -7.0100       38.720517538917
           112.6900     -7.0100       38.193642586798
           112.7000     -7.0100       37.654055664825
           112.7100     -7.0100       37.147291498849
           112.7200     -7.0100       36.713073110220
           112.7300     -7.0100       36.381503066981
           112.7400     -7.0100       36.170712660530
           112.7500     -7.0100       36.086203039489
           112.7600     -7.0100       36.121880281137
           112.7700     -7.0100       36.262558105109
           112.7800     -7.0100       36.487508052835
           112.7900     -7.0100       36.774503430434
           112.8000     -7.0100       37.103747947141
           112.8100     -7.0100       37.461110001217
           112.8200     -7.0100       37.840194589152
           112.8300     -7.0100       38.242961384249
           112.8400     -7.0100       38.678815137915
           112.8500     -7.0100       39.162322904769
           112.8600     -7.0100       39.709919677648
           112.8700     -7.0100       40.336120483298
           112.8800     -7.0100       41.049840168408
           112.8900     -7.0100       41.851419211221
           112.9000     -7.0100       42.730863906140
           112.9100     -7.0100       43.667643252041
           112.9200     -7.0100       44.632164658969
           112.9300     -7.0100       45.588805965794
           112.9400     -7.0100       46.500146058638
           112.9500     -7.0100       47.331843907991
           112.9600     -7.0100       48.057494335505
           112.9700     -7.0100       48.662757475507
           112.9800     -7.0100       49.148125044370
           112.9900     -7.0100       49.529844370167
           113.0000     -7.0100       49.838752183806
           112.0000     -7.0200       61.458209728601
           112.0100     -7.0200       59.443900817538
           112.0200     -7.0200       57.294929809395
           112.0300     -7.0200       55.080873847153
           112.0400     -7.0200       52.865181323252
           112.0500     -7.0200       50.702436342941
           112.0600     -7.0200       48.636784051817
           112.0700     -7.0200       46.701535291218
           112.0800     -7.0200       44.919828639031
           112.0900     -7.0200       43.306108842064
           112.1000     -7.0200       41.868097758460
           112.1100     -7.0200       40.608897314399
           112.1200     -7.0200       39.528877689728
           112.1300     -7.0200       38.627065389458
           112.1400     -7.0200       37.901846066642
           112.1500     -7.0200       37.350921715422
           112.1600     -7.0200       36.970593506848
           112.1700     -7.0200       36.754561350117
           112.1800     -7.0200       36.692521898405
