generating_institute     gfz-potsdam
     generating_date     2026/07/10
        product_type     gravity_field
                body     earth
           modelname     xgm2019e_2159
     max_used_degree          2190
         tide_system     tide_free
          functional     second_r_derivative
    zero_degree_term     included
                unit     Eotvos
          refsysname     WGS84
            gmrefpot      3.98600441800E+14 m**3/s**2
        radiusrefpot     6378137.000 m
          flatrefpot      3.352810664747480E-03   (1/298.25722356300)
         omegarefpot      7.29211500000E-05 1/s
    normal_potential      6.263685171456948E+07 m**2/s**2
       long_lat_unit     degree
      latlimit_north      -7.0000000000000    
      latlimit_south      -8.0000000000000    
      longlimit_west       112.00000000000    
      longlimit_east       113.00000000000    
            gridstep      0.10000000000000E-01
     height_over_ell          0.0000 m
  latitude_parallels           101
 longitude_parallels           101
number_of_gridpoints         10201
            gapvalue           9999.0000
       weighted_mean      1.9050904E+00 Eotvos
            maxvalue      4.7668695E+02 Eotvos
            minvalue     -1.5943747E+02 Eotvos
         signal_wrms      7.9843516E+01 Eotvos
         grid_format     long_lat_value

          longitude    latitude    second_r_derivative
            [deg.]      [deg.]         [Eotvos]
end_of_head ============================================
           112.0000     -7.0000       43.406236786612
           112.0100     -7.0000       39.979734860412
           112.0200     -7.0000       36.173116552284
           112.0300     -7.0000       32.128663343536
           112.0400     -7.0000       27.976923326561
           112.0500     -7.0000       23.831029106578
           112.0600     -7.0000       19.783670700788
           112.0700     -7.0000       15.906662310113
           112.0800     -7.0000       12.252724919012
           112.0900     -7.0000        8.858856501678
           112.1000     -7.0000        5.750508845984
           112.1100     -7.0000        2.945752372429
           112.1200     -7.0000        0.458690233035
           112.1300     -7.0000       -1.698432895644
           112.1400     -7.0000       -3.514720982555
           112.1500     -7.0000       -4.981709711571
           112.1600     -7.0000       -6.095741479502
           112.1700     -7.0000       -6.861084622244
           112.1800     -7.0000       -7.293087799542
           112.1900     -7.0000       -7.420610211390
           112.2000     -7.0000       -7.287039655640
           112.2100     -7.0000       -6.949396713682
           112.2200     -7.0000       -6.475301198619
           112.2300     -7.0000       -5.937909049485
           112.2400     -7.0000       -5.409267470085
           112.2500     -7.0000       -4.952833552093
           112.2600     -7.0000       -4.616110866929
           112.2700     -7.0000       -4.424443812256
           112.2800     -7.0000       -4.376950799815
           112.2900     -7.0000       -4.445373776096
           112.3000     -7.0000       -4.576292344106
           112.3100     -7.0000       -4.696733618724
           112.3200     -7.0000       -4.722755770789
           112.3300     -7.0000       -4.570153617191
           112.3400     -7.0000       -4.166088248439
           112.3500     -7.0000       -3.460231172575
           112.3600     -7.0000       -2.433973065520
           112.3700     -7.0000       -1.106393298102
           112.3800     -7.0000        0.463989633923
           112.3900     -7.0000        2.182197293370
           112.4000     -7.0000        3.924448988174
           112.4100     -7.0000        5.549860643740
           112.4200     -7.0000        6.915010748700
           112.4300     -7.0000        7.889782760487
           112.4400     -7.0000        8.372655565545
           112.4500     -7.0000        8.303592384385
           112.4600     -7.0000        7.672885555582
           112.4700     -7.0000        6.524732910553
           112.4800     -7.0000        4.954906460505
           112.4900     -7.0000        3.102558661089
           112.5000     -7.0000        1.136913594803
           112.5100     -7.0000       -0.759776756540
           112.5200     -7.0000       -2.411147974970
           112.5300     -7.0000       -3.665378005356
           112.5400     -7.0000       -4.411432149095
           112.5500     -7.0000       -4.590992757103
           112.5600     -7.0000       -4.204647520479
           112.5700     -7.0000       -3.311570622900
           112.5800     -7.0000       -2.022693781136
           112.5900     -7.0000       -0.488136512729
           112.6000     -7.0000        1.119648726638
           112.6100     -7.0000        2.625046747759
           112.6200     -7.0000        3.868519002514
           112.6300     -7.0000        4.723663717904
           112.6400     -7.0000        5.110122397124
           112.6500     -7.0000        5.000875700690
           112.6600     -7.0000        4.423168466955
           112.6700     -7.0000        3.453092370073
           112.6800     -7.0000        2.204635806698
           112.6900     -7.0000        0.814684841591
           112.7000     -7.0000       -0.574059519030
           112.7100     -7.0000       -1.830055268665
           112.7200     -7.0000       -2.847647939002
           112.7300     -7.0000       -3.557748115189
           112.7400     -7.0000       -3.933214704385
           112.7500     -7.0000       -3.988420374794
           112.7600     -7.0000       -3.773257445399
           112.7700     -7.0000       -3.362583072425
           112.7800     -7.0000       -2.842703446709
           112.7900     -7.0000       -2.296877669441
           112.8000     -7.0000       -1.791931771155
           112.8100     -7.0000       -1.367896765783
           112.8200     -7.0000       -1.032144839455
           112.8300     -7.0000       -0.758853529920
           112.8400     -7.0000       -0.493865913653
           112.8500     -7.0000       -0.164238958641
           112.8600     -7.0000        0.308911128580
           112.8700     -7.0000        0.996153325014
           112.8800     -7.0000        1.946199725446
           112.8900     -7.0000        3.175142459963
           112.9000     -7.0000        4.660184600981
           112.9100     -7.0000        6.338980372749
           112.9200     -7.0000        8.114928788157
           112.9300     -7.0000        9.867924766076
           112.9400     -7.0000       11.469276920357
           112.9500     -7.0000       12.798861965274
           112.9600     -7.0000       13.762193817346
           112.9700     -7.0000       14.305001387360
           112.9800     -7.0000       14.423152984852
           112.9900     -7.0000       14.166313698951
           113.0000     -7.0000       13.634509988840
           112.0000     -7.0100       41.081654243147
           112.0100     -7.0100       37.553081267437
           112.0200     -7.0100       33.684244439476
           112.0300     -7.0100       29.622430314212
           112.0400     -7.0100       25.499398381756
           112.0500     -7.0100       21.425655931872
           112.0600     -7.0100       17.487867894896
           112.0700     -7.0100       13.749307548373
           112.0800     -7.0100       10.252874221668
           112.0900     -7.0100        7.025900199168
           112.1000     -7.0100        4.085779541098
           112.1100     -7.0100        1.445400249301
           112.1200     -7.0100       -0.882546314255
           112.1300     -7.0100       -2.883082137736
           112.1400     -7.0100       -4.538666989521
           112.1500     -7.0100       -5.831136178188
           112.1600     -7.0100       -6.745479937168
           112.1700     -7.0100       -7.274767936183
           112.1800     -7.0100       -7.425297743556
           112.1900     -7.0100       -7.220956216127
           112.2000     -7.0100       -6.705844562047
           112.2100     -7.0100       -5.944427282539
           112.2200     -7.0100       -5.018797655498
           112.2300     -7.0100       -4.023065150177
           112.2400     -7.0100       -3.055307669747
           112.2500     -7.0100       -2.207932715177
           112.2600     -7.0100       -1.557597916027
           112.2700     -7.0100       -1.156004983851
           112.2800     -7.0100       -1.022871684752
           112.2900     -7.0100       -1.142195933484
           112.3000     -7.0100       -1.462570939557
           112.3100     -7.0100       -1.901829915532
           112.3200     -7.0100       -2.355751308574
           112.3300     -7.0100       -2.710010593532
           112.3400     -7.0100       -2.854094906640
           112.3500     -7.0100       -2.695567969281
           112.3600     -7.0100       -2.172934857440
           112.3700     -7.0100       -1.265436240119
           112.3800     -7.0100        0.001600651223
           112.3900     -7.0100        1.556740624432
           112.4000     -7.0100        3.288014198008
           112.4100     -7.0100        5.053670560134
           112.4200     -7.0100        6.697036691231
           112.4300     -7.0100        8.063860461681
           112.4400     -7.0100        9.020148079535
           112.4500     -7.0100        9.468373001716
           112.4600     -7.0100        9.360058689917
           112.4700     -7.0100        8.703113601591
           112.4800     -7.0100        7.562883739880
           112.4900     -7.0100        6.056618346778
           112.5000     -7.0100        4.341830480538
           112.5100     -7.0100        2.599779696861
           112.5200     -7.0100        1.015915250438
           112.5300     -7.0100       -0.240483489353
           112.5400     -7.0100       -1.035100712550
           112.5500     -7.0100       -1.283598310151
           112.5600     -7.0100       -0.961064037056
           112.5700     -7.0100       -0.104757098814
           112.5800     -7.0100        1.190191032038
           112.5900     -7.0100        2.781621066524
           112.6000     -7.0100        4.496451378135
           112.6100     -7.0100        6.150130544270
           112.6200     -7.0100        7.567127518502
           112.6300     -7.0100        8.600038955165
           112.6400     -7.0100        9.145080977163
           112.6500     -7.0100        9.152195781537
           112.6600     -7.0100        8.628683321252
           112.6700     -7.0100        7.636078501974
           112.6800     -7.0100        6.280831721963
           112.6900     -7.0100        4.700108452794
           112.7000     -7.0100        3.044605477130
           112.7100     -7.0100        1.460613760455
           112.7200     -7.0100        0.073599607744
           112.7300     -7.0100       -1.024676460710
           112.7400     -7.0100       -1.783994565709
           112.7500     -7.0100       -2.197655966281
           112.7600     -7.0100       -2.298597206875
           112.7700     -7.0100       -2.150411279354
           112.7800     -7.0100       -1.834719014963
           112.7900     -7.0100       -1.436799081213
           112.8000     -7.0100       -1.031583772191
           112.8100     -7.0100       -0.672034470518
           112.8200     -7.0100       -0.381538933919
           112.8300     -7.0100       -0.151373951747
           112.8400     -7.0100        0.056465967197
           112.8500     -7.0100        0.301557681831
           112.8600     -7.0100        0.653657145937
           112.8700     -7.0100        1.179375763509
           112.8800     -7.0100        1.928978262516
           112.8900     -7.0100        2.925366523130
           112.9000     -7.0100        4.157028561992
           112.9100     -7.0100        5.576185399300
           112.9200     -7.0100        7.102633051786
           112.9300     -7.0100        8.632952014135
           112.9400     -7.0100       10.053956145994
           112.9500     -7.0100       11.258589629335
           112.9600     -7.0100       12.162050875852
           112.9700     -7.0100       12.715792298018
           112.9800     -7.0100       12.917241481643
           112.9900     -7.0100       12.813595230473
           113.0000     -7.0100       12.498793202330
           112.0000     -7.0200       36.554093707456
           112.0100     -7.0200       32.922447322520
           112.0200     -7.0200       29.025505729088
           112.0300     -7.0200       25.015313810238
           112.0400     -7.0200       21.023723690309
           112.0500     -7.0200       17.156570904546
           112.0600     -7.0200       13.491489232042
           112.0700     -7.0200       10.079252512632
           112.0800     -7.0200        6.948087615000
           112.0900     -7.0200        4.110040941171
           112.1000     -7.0200        1.568248400825
           112.1100     -7.0200       -0.676113865118
           112.1200     -7.0200       -2.618323875313
           112.1300     -7.0200       -4.246925487846
