          1  0.000000D+00  0.000000D+00  0.000000D+00
          2 -0.991827D+00  0.236408D-01 -0.305449D+00
          3 -0.105118D+01  0.701188D-01 -0.196107D+00
          4 -0.105371D+01  0.589433D-01 -0.133700D+00
          5 -0.108660D+01  0.463924D-01 -0.104726D+00
          6 -0.114365D+01  0.388438D-01 -0.902687D-01
          7 -0.121298D+01  0.343637D-01 -0.821213D-01
          8 -0.128501D+01  0.316266D-01 -0.766575D-01
          9 -0.135671D+01  0.297808D-01 -0.726252D-01
         10 -0.142393D+01  0.284267D-01 -0.691732D-01
         11 -0.148999D+01  0.273918D-01 -0.664145D-01
         12 -0.155225D+01  0.265604D-01 -0.639518D-01
         13 -0.161370D+01  0.259414D-01 -0.619164D-01
         14 -0.167052D+01  0.254232D-01 -0.599637D-01
         15 -0.172606D+01  0.249500D-01 -0.582472D-01
         16 -0.177677D+01  0.245087D-01 -0.565417D-01
         17 -0.182732D+01  0.241894D-01 -0.550767D-01
         18 -0.187476D+01  0.238766D-01 -0.536623D-01
         19 -0.192211D+01  0.236592D-01 -0.524251D-01
         20 -0.196336D+01  0.233188D-01 -0.510724D-01
         21 -0.200463D+01  0.230626D-01 -0.498744D-01
         22 -0.204253D+01  0.227684D-01 -0.486727D-01
         23 -0.207885D+01  0.224890D-01 -0.475340D-01
         24 -0.211435D+01  0.222437D-01 -0.464758D-01
         25 -0.214669D+01  0.219530D-01 -0.454060D-01
         26 -0.217852D+01  0.216976D-01 -0.444129D-01
         27 -0.220835D+01  0.214291D-01 -0.434398D-01
         28 -0.223678D+01  0.211630D-01 -0.425018D-01
         29 -0.226397D+01  0.208995D-01 -0.415989D-01
         30 -0.228956D+01  0.206286D-01 -0.407170D-01
         31 -0.231398D+01  0.203610D-01 -0.398659D-01
         32 -0.233726D+01  0.200944D-01 -0.390421D-01
         33 -0.235902D+01  0.198179D-01 -0.382339D-01
         34 -0.237988D+01  0.195472D-01 -0.374546D-01
         35 -0.239973D+01  0.192767D-01 -0.366984D-01
